target_name,validation_protocol,fold,loss_name,seed,control_type,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260625,pca_only_random,0.061619892716407776,0.00887991301715374,0.09423329038696325,-0.0008027875583171446,-0.004867470161077904,-0.004867470161077904
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260626,pca_only_random,0.06319810450077057,0.008747534826397896,0.0935282568339531,-0.0021650233208344192,-0.0008441815907425719,-0.0008441815907425719
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260627,pca_only_random,0.06302530318498611,0.008748981170356274,0.09353598863729551,-0.0034421594913630433,-0.006397432845310741,-0.006397432845310741
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260625,pca_only_random,0.06348881125450134,0.00890384428203106,0.09436018377489024,-0.0063455010321325014,-0.004127007130429864,-0.0014608040141087899
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260626,pca_only_random,0.06764174997806549,0.01057645957916975,0.10284191547793026,-0.0008869184706590582,-0.0005033125276629037,-0.002479612421568471
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260627,pca_only_random,0.06240854039788246,0.008785584941506386,0.0937314511863888,-0.0018666349515538833,0.0007344761838999621,0.0024289472098279084
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260625,pca_only_real,2.4265635013580322,6.334917068481445,2.516926115022339,0.1490024166479753,0.1138223706231142,0.1138223706231142
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260626,pca_only_real,2.4223926067352295,6.286252498626709,2.5072400161585464,0.14713525860120263,0.1113135427918876,0.1113135427918876
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260627,pca_only_real,2.378148317337036,6.039648532867432,2.457569639474624,0.1479947080834115,0.11200445172913809,0.11200445172913809
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260625,pca_only_real,0.07109957188367844,0.011335347779095173,0.10646759027561004,0.08283797021674967,0.08315037422892155,0.08315037422892155
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260626,pca_only_real,0.06877481937408447,0.010067803785204887,0.10033844619688351,0.10019735984229489,0.0931345550766501,0.0931345550766501
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260627,pca_only_real,0.07242032140493393,0.01119912788271904,0.10582593199551346,0.08111587305027014,0.07830791192336953,0.07830791192336953
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260625,pca_only_real,0.06508740782737732,0.009094961918890476,0.095367509765593,0.12806268565985635,0.10495547343125354,0.11353211757769155
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260626,pca_only_real,0.06213613227009773,0.008793063461780548,0.09377133603495552,0.10175186550081562,0.09562152263420617,0.08860205510270644
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression_plus_binary,20260627,pca_only_real,0.06289132684469223,0.009022410027682781,0.09498636758863233,0.09807740487519304,0.0901708972273029,0.1005364474485322
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260625,pca_only_shuffled,2.321748733520508,5.440977573394775,2.332590314091777,-0.0031870214816234043,-0.007040861932736371,-0.007040861932736371
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260626,pca_only_shuffled,2.3089206218719482,5.36931848526001,2.3171789929265305,-0.002634821304136293,-0.006872755741598153,-0.006872755741598153
arousal_spike_rows_2_6_train_q90,grouped_video,2,binary,20260627,pca_only_shuffled,2.3205509185791016,5.427844047546387,2.3297733897412396,-0.0084977405412663,-0.013989939905095748,-0.013989939905095748
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260625,pca_only_shuffled,0.062110792845487595,0.008769865147769451,0.09364755815166485,-0.004518459205568226,-0.007140277502015528,-0.007140277502015528
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260626,pca_only_shuffled,0.06170126423239708,0.008730143308639526,0.09343523590508843,-0.0005072210357792101,-0.003835058607073545,-0.003835058607073545
arousal_spike_rows_2_6_train_q90,grouped_video,2,regression,20260627,pca_only_shuffled,0.06193127483129501,0.00875604897737503,0.09357376222732006,-0.007663680049030766,-0.006633638979912392,-0.006633638979912392
