candidate,target_type,family,baseline,spearman,pearson,direction,top_1pct_avg_true,top_1pct_continuous_lift,top_5pct_avg_true,top_5pct_continuous_lift,top_10pct_avg_true,top_10pct_continuous_lift,pr_auc,roc_auc,top_1pct_recall,top_5pct_recall,top_10pct_recall
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,trailing_2s_mean,0.22308086028304402,0.28699693811045535,-1,0.13314913052110122,0.07487767604769849,0.14706192914790803,0.0887904746745053,0.12945426094985069,0.07118280647644795,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,trailing_4s_mean,0.22609600284244366,0.27558763234607997,-1,0.11929289280510581,0.061021547141942335,0.1404257362440836,0.08215439058092014,0.12666472192985676,0.06839337626669328,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,recent_arousal_slope_delta,0.13864415934311114,-0.03377052608017135,1,-0.03622508396327632,-0.09449653843667906,0.043050273713744126,-0.015221180759658615,0.061691091436693234,0.0034196369632904927,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,video_relative_time,-0.017820446047408612,-0.019713699686470285,-1,0.06679471109922128,0.008523256625818536,0.06520817835691656,0.0069367238835138165,0.062121438923636245,0.003849984450233504,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,per_video_train_base_rate,-0.03834989711023361,0.0050716485407537705,1,0.1267497064674759,0.06847825199407317,0.10143197024367172,0.04316051577026898,0.08018728364367668,0.02191582917027394,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,train_only_video_mean_arousal,0.24035180851633176,0.15887024164223937,-1,0.1324971172182027,0.07422566274479997,0.11366210241643919,0.05539064794303645,0.10595375743731265,0.04768230296390991,,,,,
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,current_arousal,,,-1,,,,,,,0.2145238148078008,0.7297474490902325,0.02180106527932615,0.11135885048928527,0.1932367149758454
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,previous_row_arousal,,,-1,,,,,,,0.21807538859262587,0.7317751125759326,0.023287501548371115,0.11396011396011396,0.19732441471571907
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,trailing_2s_mean,,,-1,,,,,,,0.21222669781147602,0.7290432725719965,0.020933977455716585,0.10640406292580205,0.189520624303233
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,trailing_4s_mean,,,-1,,,,,,,0.20742579903028813,0.7193083824678197,0.01970504399553848,0.1024910149956624,0.18763167678770604
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,recent_arousal_slope_delta,,,-1,,,,,,,0.15648317438480464,0.5135479029674551,0.030224204137247617,0.11098724142202403,0.17539947974730583
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,video_relative_time,,,-1,,,,,,,0.1128554675059808,0.47161698526003687,0.010776662950575994,0.05351170568561873,0.10281184194227673
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,per_video_train_base_rate,,,1,,,,,,,0.19590644080392594,0.6328065880116014,0.027622940666418926,0.11990585903629382,0.21590486807878112
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,train_only_video_mean_arousal,,,1,,,,,,,0.09732491054358569,0.42856921217491395,0.0019819150253932863,0.023163631859284033,0.05091044221479004
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,current_arousal,-0.09473467875163329,-0.06337006664127738,1,0.13988099175968316,0.006481311277054064,0.14086334062185266,0.00746366013922356,0.11961937897151582,-0.013780301511113272,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,previous_row_arousal,-0.09506818595602147,-0.06353071826370545,1,0.15252418330557116,0.019124502822942063,0.14676423023443796,0.013364549751808869,0.12315478560034529,-0.010244894882283806,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,trailing_2s_mean,-0.09969217109170028,-0.06639476937274141,1,0.1228527222489441,-0.010546958233684997,0.11002301324454773,-0.023376667238081364,0.10950036054889742,-0.023899319933731678,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,trailing_4s_mean,-0.10842384211469314,-0.07456789482054925,1,0.0821065651293389,-0.05131345168543777,0.0943227670056804,-0.03909724980909626,0.10300314683154908,-0.030416869983227582,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,recent_arousal_slope_delta,0.03655155829754474,0.013858184097120413,1,0.29774409849479316,0.16434441801216407,0.23591247763960066,0.10251279715697156,0.20835162591481976,0.07495194543219066,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,video_relative_time,-0.04821548202886465,-0.0528299660229779,-1,0.119987768950339,-0.0134119115322901,0.12272330731734025,-0.010676373165288841,0.12549091693472716,-0.007908763547901931,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,per_video_train_base_rate,0.24986180300013347,0.28767588474648326,1,0.2649573442128575,0.1315576637302284,0.24386537677852707,0.11046569629589797,0.22542948049489686,0.09202980001226777,,,,,
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,train_only_video_mean_arousal,-0.08619706547718874,-0.04903908959303588,1,0.13758075617263452,0.00418107569000542,0.12617846531488297,-0.007221215167746126,0.11591068835319297,-0.017488992129436123,,,,,
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,current_arousal,,,1,,,,,,,0.1290813839244816,0.46155402197457035,0.014008382969335981,0.07533642179572027,0.11471431722920802
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,previous_row_arousal,,,1,,,,,,,0.1311778880012158,0.463269217487681,0.015221707478491065,0.07820427972645047,0.11967791749393338
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,trailing_2s_mean,,,1,,,,,,,0.1232026116963053,0.4612045741903148,0.011802338407235826,0.05261416280608868,0.1015883520847121
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,trailing_4s_mean,,,1,,,,,,,0.11930540242002258,0.4572881409977593,0.008603573792190603,0.04191484667990293,0.09099933818663138
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,recent_arousal_slope_delta,,,1,,,,,,,0.18044009747898165,0.4943891690065126,0.034303992940657405,0.11912640635340833,0.1928082947275535
