control,control_window_gain,feature_mode,fold,real_window_gain,representation,target,threshold,window_name,window_seconds,window_specific_gain
shuffled,0.020557764480133522,cortical_pca_64,grouped_0,0.011604467586924683,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.00895329689320884
random,0.01885508409711356,cortical_pca_64,grouped_0,0.011604467586924683,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.007250616510188879
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.011604467586924683,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.058670816641571394
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.011604467586924683,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.04885448776464177
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.007968255714152717,last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.014215756662019796
shuffled,0.011116807429412012,cortical_pca_64,grouped_0,0.007968255714152717,last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.0031485517152592957
random,0.0066784957359317665,cortical_pca_64,grouped_0,0.007968255714152717,last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.0012897599782209501
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.007968255714152717,last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.05503460476879943
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.007968255714152717,last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.0452182758918698
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.014697895158204244,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.007486117217968269
shuffled,0.006525750696430244,cortical_pca_64,grouped_0,0.014697895158204244,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.008172144461774
random,0.020649390600932738,cortical_pca_64,grouped_0,0.014697895158204244,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.005951495442728494
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.014697895158204244,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.061764244212850955
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.014697895158204244,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.05194791533592133
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.022655692821630824,last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.004974567445812539
shuffled,0.024047778958858457,cortical_pca_64,grouped_0,0.022655692821630824,last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.0013920861372276327
random,0.015639836393976148,cortical_pca_64,grouped_0,0.022655692821630824,last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.007015856427654676
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.022655692821630824,last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.10182521832097985
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.022655692821630824,last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.06837380444471902
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.032975396767179865,mean,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.01529427139136158
shuffled,0.030468398099044114,cortical_pca_64,grouped_0,0.032975396767179865,mean,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.0025069986681357515
random,0.025556040841953398,cortical_pca_64,grouped_0,0.032975396767179865,mean,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.007419355925226467
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.032975396767179865,mean,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.11214492226652889
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.032975396767179865,mean,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.07869350839026806
ar,0.017681125375818285,cortical_pca_64,grouped_0,-0.0008887733101068385,slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.018569898685925124
shuffled,0.016415056633106828,cortical_pca_64,grouped_0,-0.0008887733101068385,slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.017303829943213667
random,0.01257926312973473,cortical_pca_64,grouped_0,-0.0008887733101068385,slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.013468036439841569
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,-0.0008887733101068385,slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.07828075218924219
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,-0.0008887733101068385,slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.04482933831298136
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.008438271114836637,mean_last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.009242854260981648
shuffled,0.015750315211701837,cortical_pca_64,grouped_0,0.008438271114836637,mean_last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.0073120440968652
random,0.008391966127191453,cortical_pca_64,grouped_0,0.008438271114836637,mean_last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,4.630498764518487e-05
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.008438271114836637,mean_last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.08760779661418566
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.008438271114836637,mean_last,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.054156382737924835
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.016731676114232485,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.0009494492615857997
shuffled,0.01105837709269425,cortical_pca_64,grouped_0,0.016731676114232485,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.005673299021538236
random,0.006649226521982465,cortical_pca_64,grouped_0,0.016731676114232485,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.01008244959225002
