scope,video_id,time_quartile,rows,spike_prevalence,continuous_mean,continuous_std,positive_count,ar_pr_auc,ar_spearman_continuous,ar_top5_lift
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016,q4_latest,41,0.0,0.0,0.0,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_endless_56484FEA-A5A0-13DF-C4E2-D05B4A03BDAA,q1_earliest,42,0.0,0.03439153464777129,0.049506989466783946,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_endless_56484FEA-A5A0-13DF-C4E2-D05B4A03BDAA,q2,41,0.0,0.02981029832508506,0.04984166475549438,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_endless_56484FEA-A5A0-13DF-C4E2-D05B4A03BDAA,q3,41,0.0,0.03252032544554734,0.049682479637267074,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_endless_56484FEA-A5A0-13DF-C4E2-D05B4A03BDAA,q4_latest,41,0.0,0.0,0.0,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_fps_A6634440-EA8A-6C4E-959E-3D5D1417E497,q1_earliest,41,0.0975609756097561,0.058639919180877326,0.04618447829677289,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_fps_A6634440-EA8A-6C4E-959E-3D5D1417E497,q2,41,0.0,0.031500449540411556,0.04157961286436216,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_fps_A6634440-EA8A-6C4E-959E-3D5D1417E497,q3,41,0.0,0.01626016272277367,0.03776940793059056,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_fps_A6634440-EA8A-6C4E-959E-3D5D1417E497,q4_latest,41,0.12195121951219512,0.0413586024830981,0.0566220074065981,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_platform_37EB357A-564F-96CA-7C84-814828B14AA3,q1_earliest,38,0.0,0.01761094480752945,0.0300339696830163,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_platform_37EB357A-564F-96CA-7C84-814828B14AA3,q2,37,0.0,0.01947896122126966,0.04551283247863486,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_platform_37EB357A-564F-96CA-7C84-814828B14AA3,q3,37,0.13513513513513514,0.04238208504141988,0.0746818980267991,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_platform_37EB357A-564F-96CA-7C84-814828B14AA3,q4_latest,37,0.08108108108108109,0.025124748665336018,0.07611083908324315,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_solid_AF582C53-94D1-BF80-0EDE-F9DC48B90662,q1_earliest,42,0.047619047619047616,0.0706401465327612,0.058525642013931824,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_solid_AF582C53-94D1-BF80-0EDE-F9DC48B90662,q2,41,0.0975609756097561,0.04502814403939538,0.05145981340089825,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_solid_AF582C53-94D1-BF80-0EDE-F9DC48B90662,q3,41,0.12195121951219512,0.04502814344880057,0.06745328375047775,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_solid_AF582C53-94D1-BF80-0EDE-F9DC48B90662,q4_latest,41,0.024390243902439025,0.031379876840041905,0.046567085017025785,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_tiny_0CED4E3E-D2FC-B279-96D2-EDD9C8BB2D52,q1_earliest,40,0.125,0.07885677265003324,0.06722110885290743,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_tiny_0CED4E3E-D2FC-B279-96D2-EDD9C8BB2D52,q2,39,0.0,0.02822802249246683,0.03545758491947637,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_tiny_0CED4E3E-D2FC-B279-96D2-EDD9C8BB2D52,q3,39,0.10256410256410256,0.047181482593982645,0.08105920152474266,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_tiny_0CED4E3E-D2FC-B279-96D2-EDD9C8BB2D52,q4_latest,40,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_apex_7D237AD4-7717-B125-0D84-AB007DEE895B,q1_earliest,42,0.2619047619047619,0.13095238071955032,0.22231065140381065,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_apex_7D237AD4-7717-B125-0D84-AB007DEE895B,q2,41,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_apex_7D237AD4-7717-B125-0D84-AB007DEE895B,q3,41,0.14634146341463414,0.06843179100897254,0.16966550010989043,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_apex_7D237AD4-7717-B125-0D84-AB007DEE895B,q4_latest,41,0.04878048780487805,0.017655482015958648,0.08475546464678131,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_endless_99B6E345-6546-5503-281C-870EBDC7EAAF,q1_earliest,42,0.11904761904761904,0.03571428589168049,0.08414550587218565,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_endless_99B6E345-6546-5503-281C-870EBDC7EAAF,q2,41,0.14634146341463414,0.03658536603538001,0.08549920818201723,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_endless_99B6E345-6546-5503-281C-870EBDC7EAAF,q3,41,0.43902439024390244,0.10975609774269708,0.12043755672102431,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_endless_99B6E345-6546-5503-281C-870EBDC7EAAF,q4_latest,41,0.14634146341463414,0.036585365853658534,0.08945976067756835,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_fps_87D71C6D-994A-EF14-B8BA-EF752E6DA45D,q1_earliest,41,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_fps_87D71C6D-994A-EF14-B8BA-EF752E6DA45D,q2,41,0.2926829268292683,0.09756097797213531,0.15108415102014106,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_fps_87D71C6D-994A-EF14-B8BA-EF752E6DA45D,q3,41,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_fps_87D71C6D-994A-EF14-B8BA-EF752E6DA45D,q4_latest,41,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_gallery_B52B8DB1-CBBD-EBB0-8487-4AC4D628DEB9,q1_earliest,41,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_gallery_B52B8DB1-CBBD-EBB0-8487-4AC4D628DEB9,q2,41,0.2682926829268293,0.07317073188903855,0.10953959915000142,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_gallery_B52B8DB1-CBBD-EBB0-8487-4AC4D628DEB9,q3,40,0.0,0.0,0.0,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_gallery_B52B8DB1-CBBD-EBB0-8487-4AC4D628DEB9,q4_latest,41,0.2926829268292683,0.07317073170731707,0.11516160437381558,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_platform_793FFFC9-39EF-8A4A-103D-28815582AF5A,q1_earliest,42,0.21428571428571427,0.10636012806069284,0.19865871850108285,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_platform_793FFFC9-39EF-8A4A-103D-28815582AF5A,q2,41,0.24390243902439024,0.12508724266436042,0.21650707162257282,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_platform_793FFFC9-39EF-8A4A-103D-28815582AF5A,q3,41,0.14634146341463414,0.07317073207076003,0.17273861067713792,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_platform_793FFFC9-39EF-8A4A-103D-28815582AF5A,q4_latest,41,0.14634146341463414,0.07317073170731707,0.1789195213551367,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_topdown_FF645359-21CB-7B2E-1264-FC8C386E6E62,q1_earliest,42,0.35714285714285715,0.11006087712233975,0.15392950137492145,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_topdown_FF645359-21CB-7B2E-1264-FC8C386E6E62,q2,41,0.24390243902439024,0.05945121951219512,0.10638889773362449,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_topdown_FF645359-21CB-7B2E-1264-FC8C386E6E62,q3,41,0.14634146341463414,0.038109756233852085,0.088984643703322,,,,
train,09FCECC4-F94E-ED69-5E9B-3223B590A149_topdown_FF645359-21CB-7B2E-1264-FC8C386E6E62,q4_latest,41,0.14634146341463414,0.03658536601887601,0.08945311473445983,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_apex_AE9B612C-EB47-5839-6838-4FA68F926B78,q1_earliest,42,0.4523809523809524,0.1260931073643622,0.1237951943369443,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_apex_AE9B612C-EB47-5839-6838-4FA68F926B78,q2,41,0.2926829268292683,0.09587151679869105,0.10001701408798054,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_apex_AE9B612C-EB47-5839-6838-4FA68F926B78,q3,41,0.24390243902439024,0.08804143883469628,0.10141351596557995,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_apex_AE9B612C-EB47-5839-6838-4FA68F926B78,q4_latest,41,0.12195121951219512,0.05979161368251392,0.07200794521473508,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_endless_0D91C906-5EB4-F769-B75E-9D6446D6612F,q1_earliest,42,0.047619047619047616,0.05582772878309091,0.06785810666609034,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_endless_0D91C906-5EB4-F769-B75E-9D6446D6612F,q2,41,0.07317073170731707,0.08032554940025254,0.0671756866974993,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_endless_0D91C906-5EB4-F769-B75E-9D6446D6612F,q3,41,0.12195121951219512,0.06319121593927465,0.06999622224601271,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_endless_0D91C906-5EB4-F769-B75E-9D6446D6612F,q4_latest,41,0.34146341463414637,0.09786550771081592,0.1128737549515236,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_fps_E7437BF6-BC64-4736-EB4A-97D680116E9D,q1_earliest,41,0.3170731707317073,0.1259329800335009,0.21117174970161248,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_fps_E7437BF6-BC64-4736-EB4A-97D680116E9D,q2,41,0.36585365853658536,0.0933779384486559,0.08937845272487038,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_fps_E7437BF6-BC64-4736-EB4A-97D680116E9D,q3,41,0.2926829268292683,0.10022402698991865,0.13558457649065273,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_fps_E7437BF6-BC64-4736-EB4A-97D680116E9D,q4_latest,41,0.36585365853658536,0.13491308252985884,0.16685786142909326,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gallery_9C4666C5-BC39-B432-EBD1-9DD118A24D25,q1_earliest,41,0.6097560975609756,0.19803699239997602,0.15544328692610213,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gallery_9C4666C5-BC39-B432-EBD1-9DD118A24D25,q2,41,0.36585365853658536,0.12148956313911008,0.1539242586686839,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gallery_9C4666C5-BC39-B432-EBD1-9DD118A24D25,q3,40,0.225,0.09981238601030781,0.11396862604361188,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gallery_9C4666C5-BC39-B432-EBD1-9DD118A24D25,q4_latest,41,0.024390243902439025,0.042821023289523114,0.051534499805239185,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gun_EEB4BB98-FF39-21B3-0453-E812CA2C4998,q1_earliest,43,0.27906976744186046,0.09242472451093585,0.09413999354560955,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gun_EEB4BB98-FF39-21B3-0453-E812CA2C4998,q2,43,0.0,0.039761501602655236,0.041414215349944654,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gun_EEB4BB98-FF39-21B3-0453-E812CA2C4998,q3,42,0.21428571428571427,0.0745816430343049,0.07198943404651485,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_gun_EEB4BB98-FF39-21B3-0453-E812CA2C4998,q4_latest,43,0.06976744186046512,0.05648214622335725,0.05920793650215498,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_platform_9623D68F-A943-A423-1F19-4A04A00F31AC,q1_earliest,42,0.5714285714285714,0.1514385954609939,0.11890557790797827,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_platform_9623D68F-A943-A423-1F19-4A04A00F31AC,q2,41,0.3170731707317073,0.09888826510528238,0.09690384302786197,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_platform_9623D68F-A943-A423-1F19-4A04A00F31AC,q3,41,0.4146341463414634,0.12954269013390307,0.16404127500181812,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_platform_9623D68F-A943-A423-1F19-4A04A00F31AC,q4_latest,41,0.4634146341463415,0.12997068546530677,0.15847552304956344,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_solid_88462BA0-2404-DDF4-E18E-781452DB204B,q1_earliest,41,0.36585365853658536,0.11435499878191366,0.08761109936146728,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_solid_88462BA0-2404-DDF4-E18E-781452DB204B,q2,41,0.4146341463414634,0.13617141017826592,0.16528789271098365,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_solid_88462BA0-2404-DDF4-E18E-781452DB204B,q3,41,0.21951219512195122,0.09197960880289717,0.10498312140172592,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_solid_88462BA0-2404-DDF4-E18E-781452DB204B,q4_latest,41,0.3170731707317073,0.09917161240037985,0.08350437833843792,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_tiny_4D1E5D68-662F-99E8-4CC7-8027C64BD657,q1_earliest,42,0.0,0.053409482507656016,0.04322349780478598,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_tiny_4D1E5D68-662F-99E8-4CC7-8027C64BD657,q2,41,0.07317073170731707,0.06540054076055928,0.07022138059626695,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_tiny_4D1E5D68-662F-99E8-4CC7-8027C64BD657,q3,41,0.024390243902439025,0.04919368565286987,0.062274098876109046,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_tiny_4D1E5D68-662F-99E8-4CC7-8027C64BD657,q4_latest,41,0.0,0.056069618090987206,0.05348987446052382,,,,
