fold,seed,control_type,best_epoch,label_policy,heldout_scoring_policy,best_inner_val_delta_vs_frozen_ar
3,20260633,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.702884502692182e-05
3,20260634,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
4,20260625,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
4,20260626,label_permutation_residual,2,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.5301708143327106e-05
4,20260627,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
4,20260628,label_permutation_residual,14,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0002465520462779369
4,20260629,label_permutation_residual,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0002716129535166867
4,20260630,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
4,20260631,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,3.385909270239851e-05
4,20260632,label_permutation_residual,12,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00020360461147754527
4,20260633,label_permutation_residual,2,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.744022857498584e-05
4,20260634,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.4098256424132103e-05
5,20260625,label_permutation_residual,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0003128826564235826
5,20260626,label_permutation_residual,40,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0004070653021390064
5,20260627,label_permutation_residual,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00014786495881331796
5,20260628,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
5,20260629,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
5,20260630,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
5,20260631,label_permutation_residual,3,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,5.2488221579383154e-05
5,20260632,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,3.734907028377088e-05
5,20260633,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
5,20260634,label_permutation_residual,10,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,9.759904171474654e-05
