fold,lane,seed,epoch,inner_val_top_5pct_continuous_lift,inner_val_continuous_spearman,inner_val_top_10pct_continuous_lift,target_name,target_type,architecture,control_type,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,label_policy
1,,20260708,2,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014777951873838902,-0.00017358362674713135,-0.00017358362674713135,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0021872741635888815,0.031233152374625206,0.12204838544130325,true_train_and_true_inner_val_selection
1,,20260708,3,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014737695921212435,-0.0006707608699798584,-0.0006707608699798584,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002241510432213545,0.06446024030447006,0.3583334684371948,true_train_and_true_inner_val_selection
1,,20260708,4,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014634911022666428,0.001163780689239502,0.001163780689239502,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002296814462170005,0.07101741433143616,0.42210111021995544,true_train_and_true_inner_val_selection
1,,20260708,5,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014443541152609719,0.0028534233570098877,0.0028534233570098877,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0023451356682926416,0.07794315367937088,0.5144070386886597,true_train_and_true_inner_val_selection
1,,20260708,6,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014254179265764024,0.005268529057502747,0.005268529057502747,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002375431125983596,0.07869747281074524,0.5097078680992126,true_train_and_true_inner_val_selection
1,,20260708,7,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014130187583052449,0.006020352244377136,0.006020352244377136,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0023862861562520266,0.08236037194728851,0.5283549427986145,true_train_and_true_inner_val_selection
1,,20260708,8,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.014033897986842526,0.006184712052345276,0.006184712052345276,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002406924730166793,0.08766733109951019,0.5757912397384644,true_train_and_true_inner_val_selection
1,,20260708,9,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013932178417841593,0.004619613289833069,0.004619613289833069,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0024290047585964203,0.09207209199666977,0.627282440662384,true_train_and_true_inner_val_selection
1,,20260708,10,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013823057835300764,0.0049282461404800415,0.0049282461404800415,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002452574670314789,0.09592025727033615,0.6754938364028931,true_train_and_true_inner_val_selection
1,,20260708,11,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013721502437773678,0.005511224269866943,0.005511224269866943,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0024800756946206093,0.09928304702043533,0.7140913009643555,true_train_and_true_inner_val_selection
1,,20260708,12,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013598415948864486,0.006728515028953552,0.006728515028953552,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002506248652935028,0.10113713145256042,0.7349860668182373,true_train_and_true_inner_val_selection
1,,20260708,13,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013501011921713749,0.005508586764335632,0.005508586764335632,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002532841870561242,0.10338941216468811,0.7593916654586792,true_train_and_true_inner_val_selection
1,,20260708,14,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013408276718109846,0.0060268789529800415,0.0060268789529800415,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002557474886998534,0.1052887961268425,0.7734586000442505,true_train_and_true_inner_val_selection
1,,20260708,15,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013315067212614749,0.007078886032104492,0.007078886032104492,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0025836366694420576,0.10753750801086426,0.7992269396781921,true_train_and_true_inner_val_selection
1,,20260708,16,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.01321417921119266,0.006997019052505493,0.006997019052505493,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.00260892603546381,0.1085045114159584,0.808114230632782,true_train_and_true_inner_val_selection
1,,20260708,17,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.01310828235000372,0.006111860275268555,0.006111860275268555,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002632892457768321,0.10953859239816666,0.8210797309875488,true_train_and_true_inner_val_selection
1,,20260708,18,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.013012206440584527,0.005823537707328796,0.005823537707328796,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0026578805409371853,0.11056169867515564,0.8304824829101562,true_train_and_true_inner_val_selection
1,,20260708,19,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.012918385056157907,0.004993215203285217,0.004993215203285217,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.002682257676497102,0.11101491749286652,0.8379306793212891,true_train_and_true_inner_val_selection
