actual_positive_rate,ar_accuracy,ar_balanced_accuracy,ar_decision_threshold,ar_event_count,ar_f1,ar_fn,ar_fp,ar_positive_class_rate,ar_pr_auc,ar_precision,ar_precision_at_10pct,ar_predicted_positive_count,ar_predicted_positive_rate,ar_recall,ar_recall_at_10pct,ar_roc_auc,ar_tn,ar_top_10pct_recall,ar_top_1pct_recall,ar_top_5pct_recall,ar_top_event_count_recall,ar_tp,event_count,feature_mode,fold,n_test,target,threshold
0.291866028708134,0.6347687400318979,0.6377196869000148,0.23642843267101113,549.0,0.50752688172043,195.0,492.0,0.291866028708134,0.498158587665229,0.41843971631205673,0.6349206349206349,846.0,0.44976076555023925,0.644808743169399,0.2185792349726776,0.686391309342129,840.0,0.2185792349726776,0.025500910746812388,0.12568306010928962,0.46265938069216755,354.0,549,cortical_pca_64,grouped_2,1881,arousal__future_change_p3s_movement,0.05
0.16427432216905902,0.7442849548112705,0.6468014279008869,0.1748676094402515,309.0,0.3919089759797724,154.0,327.0,0.16427432216905902,0.36732200441014,0.3215767634854772,0.4708994708994709,482.0,0.2562466772993089,0.5016181229773463,0.28802588996763756,0.7144301160272405,1245.0,0.28802588996763756,0.038834951456310676,0.1715210355987055,0.4045307443365696,155.0,309,cortical_pca_64,grouped_2,1881,arousal__future_change_p3s_movement,0.075
0.16430853491556366,0.7777270652670014,0.6393864918987803,0.20053706766007345,360.0,0.3904881101376721,204.0,283.0,0.16430853491556366,0.3484915963404199,0.3553530751708428,0.40454545454545454,439.0,0.20036513007759013,0.43333333333333335,0.24722222222222223,0.6731006129012683,1548.0,0.24722222222222223,0.04722222222222222,0.15555555555555556,0.38055555555555554,156.0,360,cortical_pca_64,grouped_3,2191,arousal__future_spike_1_3s,0.05
0.09767229575536285,0.8429940666362392,0.598384931383811,0.17128154935945225,214.0,0.2680851063829787,151.0,193.0,0.09767229575536285,0.22659954482010153,0.24609375,0.24545454545454545,256.0,0.11684162482884528,0.29439252336448596,0.2523364485981308,0.6623672230652504,1784.0,0.2523364485981308,0.056074766355140186,0.19158878504672897,0.24766355140186916,63.0,214,cortical_pca_64,grouped_3,2191,arousal__future_spike_1_3s,0.075
0.25455394675385334,0.6347501167678655,0.6329746384309397,0.24342661165725063,545.0,0.46730245231607626,202.0,580.0,0.25455394675385334,0.43822961211915995,0.37161430119176597,0.4930232558139535,923.0,0.4311069593647828,0.6293577981651376,0.1944954128440367,0.6846956841645397,1016.0,0.1944954128440367,0.03302752293577982,0.11192660550458716,0.42752293577981654,343.0,545,cortical_pca_64,grouped_3,2141,arousal__future_change_p3s_movement,0.05
0.14152265296590377,0.7412424100887436,0.616388706335269,0.18072132553785797,303.0,0.3260340632603407,169.0,385.0,0.14152265296590377,0.297105073602333,0.2581888246628131,0.37209302325581395,519.0,0.24241008874357778,0.44224422442244227,0.264026402640264,0.6830516022222461,1453.0,0.264026402640264,0.0429042904290429,0.1485148514851485,0.30033003300330036,134.0,303,cortical_pca_64,grouped_3,2141,arousal__future_change_p3s_movement,0.075
0.16025641025641027,0.7766272189349113,0.6615971814445096,0.19494784420191408,325.0,0.4139715394566623,165.0,288.0,0.16025641025641027,0.36142592243730803,0.35714285714285715,0.47783251231527096,448.0,0.22090729783037474,0.49230769230769234,0.29846153846153844,0.708698676543656,1415.0,0.29846153846153844,0.04,0.16615384615384615,0.4,160.0,325,cortical_pca_64,grouped_4,2028,arousal__future_spike_1_3s,0.05
0.08530571992110454,0.8500986193293886,0.6638580309427731,0.15443947318727605,173.0,0.33333333333333337,97.0,207.0,0.08530571992110454,0.2534939737686592,0.26855123674911663,0.2955665024630542,283.0,0.13954635108481261,0.4393063583815029,0.3468208092485549,0.7045261206238412,1648.0,0.3468208092485549,0.06358381502890173,0.2023121387283237,0.3179190751445087,76.0,173,cortical_pca_64,grouped_4,2028,arousal__future_spike_1_3s,0.075
0.25303030303030305,0.6681818181818182,0.664381176794484,0.23600573875003492,501.0,0.5003802281368822,172.0,485.0,0.25303030303030305,0.47022916169701795,0.40417690417690416,0.6111111111111112,814.0,0.4111111111111111,0.656686626746507,0.24151696606786427,0.7204563152262075,994.0,0.24151696606786427,0.023952095808383235,0.12974051896207583,0.49700598802395207,329.0,501,cortical_pca_64,grouped_4,1980,arousal__future_change_p3s_movement,0.05
0.13383838383838384,0.7803030303030303,0.680152923703174,0.17494317586581096,265.0,0.39834024896265563,121.0,314.0,0.13383838383838384,0.3283077675865656,0.314410480349345,0.4090909090909091,458.0,0.2313131313131313,0.5433962264150943,0.30566037735849055,0.7517927278728203,1401.0,0.30566037735849055,0.04150943396226415,0.17735849056603772,0.36981132075471695,144.0,265,cortical_pca_64,grouped_4,1980,arousal__future_change_p3s_movement,0.075
0.15129903209373408,0.8003056546102904,0.6527115896863795,0.20490295804089056,297.0,0.40061162079510704,166.0,226.0,0.15129903209373408,0.37174280955537997,0.36694677871148457,0.49238578680203043,357.0,0.18186449312277128,0.44107744107744107,0.3265993265993266,0.7078669851779096,1440.0,0.3265993265993266,0.04040404040404041,0.1919191919191919,0.3872053872053872,131.0,297,cortical_pca64_delta,grouped_0,1963,arousal__future_spike_1_3s,0.05
0.09067753438614366,0.8222109016811003,0.6670553614704309,0.13028026567677814,178.0,0.3275529865125241,93.0,256.0,0.09067753438614366,0.2748710195174407,0.24926686217008798,0.3553299492385787,341.0,0.17371370351502802,0.47752808988764045,0.39325842696629215,0.7154124571176785,1529.0,0.39325842696629215,0.06179775280898876,0.23595505617977527,0.37640449438202245,85.0,178,cortical_pca64_delta,grouped_0,1963,arousal__future_spike_1_3s,0.075
0.22895974908520647,0.6858337689492943,0.6823063230400124,0.24316512213991415,438.0,0.4962279966471081,142.0,459.0,0.22895974908520647,0.48011992714327656,0.3920529801324503,0.6145833333333334,755.0,0.3946680606377418,0.6757990867579908,0.2694063926940639,0.7416918195186131,1016.0,0.2694063926940639,0.02968036529680365,0.1461187214611872,0.4954337899543379,296.0,438,cortical_pca64_delta,grouped_0,1913,arousal__future_change_p3s_movement,0.05
0.13277574490329325,0.7417668583376895,0.694406078986962,0.15436864313469276,254.0,0.3931203931203931,94.0,400.0,0.13277574490329325,0.3490047481182932,0.2857142857142857,0.453125,560.0,0.29273392577104024,0.6299212598425197,0.3425196850393701,0.7675955062579203,1259.0,0.3425196850393701,0.03543307086614173,0.16535433070866143,0.40551181102362205,160.0,254,cortical_pca64_delta,grouped_0,1913,arousal__future_change_p3s_movement,0.075
0.16650943396226414,0.7839622641509434,0.6845135318420331,0.18884828500939407,353.0,0.4521531100478469,164.0,294.0,0.16650943396226414,0.4130297643721262,0.391304347826087,0.4716981132075472,483.0,0.2278301886792453,0.5354107648725213,0.28328611898017,0.7290745826459597,1473.0,0.28328611898017,0.053824362606232294,0.17563739376770537,0.42492917847025496,189.0,353,cortical_pca64_delta,grouped_1,2120,arousal__future_spike_1_3s,0.05
