target_name,validation_protocol,model_lane,folds,rows_test_total,mean_pr_auc,mean_roc_auc,mean_f1,mean_balanced_accuracy,mean_precision,mean_recall,mean_top_1pct_recall,mean_top_5pct_recall,mean_top_10pct_recall,mean_delta_mae,mean_delta_mse,mean_delta_pearson
arousal_abs_delta_p4rows_train_q90,grouped_video,AR_plus_raw_cortical,5,235217,0.12544808813009398,0.5660762709113404,0.1897434989774431,0.5424339451652459,0.12569893034301516,0.38802906459761755,0.016335910161582708,0.07861354289356007,0.14460794218469847,0.11606087633857871,0.02214577414699316,-0.03780168353109657
arousal_abs_delta_p4rows_train_q90,grouped_video,AR_plus_raw_cortical_plus_temporal_diagnostics,5,235217,0.1261872978502066,0.5672461451455223,0.19293970357168938,0.5452376954100266,0.12599219770139297,0.41404854278224884,0.017019749154657697,0.07925006959212962,0.14513321137076712,0.11617139548919306,0.02224658329791799,-0.034361938409398836
arousal_abs_delta_p4rows_train_q90,grouped_video,AR_plus_temporal_diagnostics,5,235217,0.11707260039454943,0.5416934223210782,0.18610515201023975,0.5285690025805618,0.11015696644598771,0.610787587723286,0.015783978966467695,0.06747854258435876,0.13122243487788204,0.11535330579850442,0.02109735108055919,-0.12042369266265267
arousal_abs_delta_p4rows_train_q90,grouped_video,quality_motion_luma_only_control,5,235217,0.1066626662160755,0.5116632585220655,0.18220456974871116,0.505071002056094,0.10211166359755057,0.8467853338368199,0.012786405832279368,0.06224454192037802,0.1157123406978268,0.11459333408715369,0.020270073162972125,-0.030246214643292413
arousal_abs_delta_p4rows_train_q90,grouped_video,random_matched_feature_control,5,235217,0.10122174560070782,0.5010175242969972,0.175869877081739,0.501782132894611,0.10151808399686717,0.6637928958901755,0.009867663949064206,0.048939003222388824,0.09874150620207475,0.11469033176904009,0.02033966739350418,0.002338166828775122
arousal_abs_delta_p4rows_train_q90,grouped_video,raw_cortical_only,5,235217,0.1248185249318469,0.5614404353015588,0.18811489440613255,0.5405805237162206,0.1246421785643558,0.38449936078665836,0.016856560004753447,0.07836046489895741,0.14394736794953214,0.11547028603327729,0.021720283512848004,0.001976029763930595
arousal_abs_delta_p4rows_train_q90,grouped_video,shuffled_cortical_control,5,235217,0.10072679450535542,0.49915022641317763,0.17405740505668696,0.4999900371307776,0.101008351359574,0.6306718511724864,0.009889705831463726,0.049047351049213005,0.09783560351664218,0.11471141166603797,0.02033657120985184,9.334538639539568e-05
arousal_abs_delta_p4rows_train_q90,grouped_video,shuffled_temporal_diagnostics_control,5,235217,0.1009707141014879,0.4995848110003737,0.18288258639592322,0.500650848612113,0.10114814805597402,0.9532035432780109,0.01043492805218637,0.049261232407049174,0.10023882817341145,0.11449274955639872,0.02013780225835149,0.0006494370827808306
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_diagnostics_only,5,235217,0.11088716400319705,0.5250082889365173,0.17720900556140995,0.5138042469102287,0.10517387284442699,0.5729145934038855,0.010710938973985307,0.06173029520351005,0.1271549806927911,0.11456916019745242,0.020448990738325457,-0.01683366148589043
arousal_abs_delta_p4rows_train_q90,grouped_video,timestamp_video_time_only_control,5,235217,0.11281108766808597,0.5257346346211967,0.18319710288478483,0.5037736296487709,0.10176456042441287,0.9178346265920885,0.015114077119440045,0.06512734621496921,0.12256996212409392,0.11454022909764336,0.020297143412694948,-0.0332082877814399
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,AR_only,1,71448,0.2619383402615456,0.7069858873211158,0.34615384615384615,0.625250565896516,0.3987730061349693,0.30580240460010455,0.034892838473601674,0.19302143230527966,0.35572399372713015,0.09964970536312787,0.013881979549434662,0.2490198201527559
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,AR_plus_raw_cortical,1,71448,0.1553248859797867,0.5827792346927053,0.20194285352656394,0.5458014539418101,0.13323034528829694,0.4170151594354417,0.03123366440146367,0.11121275483533717,0.17812336644014637,0.12345843225986308,0.024585927487833684,0.11173790929984896
