row_type,fold,group,seed,lane,frozen_ar_train_checksum,frozen_ar_test_checksum,continuous_pearson,continuous_spearman,continuous_mae,continuous_rmse,continuous_bias,peak_underprediction,binary_pr_auc,binary_roc_auc,binary_pr_auc_from_continuous_prediction,top_1pct_continuous_lift,top_1pct_avg_true_movement,ndcg_at_1pct,top_1pct_spike_recall_from_continuous_prediction,top_5pct_continuous_lift,top_5pct_avg_true_movement,ndcg_at_5pct,top_5pct_spike_recall_from_continuous_prediction,top_10pct_continuous_lift,top_10pct_avg_true_movement,ndcg_at_10pct,top_10pct_spike_recall_from_continuous_prediction,delta_vs_frozen_ar_continuous_spearman,delta_vs_frozen_ar_continuous_pearson,delta_vs_frozen_ar_top_1pct_continuous_lift,delta_vs_frozen_ar_top_5pct_continuous_lift,delta_vs_frozen_ar_top_10pct_continuous_lift,delta_vs_frozen_ar_ndcg_at_1pct,delta_vs_frozen_ar_ndcg_at_5pct,delta_vs_frozen_ar_ndcg_at_10pct,delta_vs_frozen_ar_binary_pr_auc,delta_vs_frozen_ar_binary_pr_auc_from_continuous_prediction,member_seeds
ensemble,3,1,0,label_permutation_residual,,,0.27103039958137776,0.22766095576895048,0.10025734454393387,0.12269678342071715,0.05558835342526436,0.2443801611661911,0.19030479928359775,0.6761220417662759,0.1942120751641747,0.12826910614967346,0.20084993541240692,0.3113538224576421,0.04090909090909091,0.0884353518486023,0.16101618111133575,0.3696518287807527,0.1638755980861244,0.06620591878890991,0.13878674805164337,0.4002647271059014,0.2669856459330144,,,,,,,,,,,"20260708,20260709,20260710"
ensemble,3,1,0,train_only_video_mean_residual,,,0.27269084594405296,0.23100976381727475,0.09872333705425262,0.12138915945654487,0.0527813583612442,0.24675746262073517,0.1948234758001101,0.6843474752457601,0.1948234758001101,0.12681178748607635,0.19939261674880981,0.3094696401784344,0.041626794258373206,0.08701945841312408,0.15960028767585754,0.36688369499665097,0.16148325358851676,0.06645791232585907,0.13903874158859253,0.4008089704413914,0.2657894736842105,,,,,,,,,,,"20260708,20260709,20260710"
ensemble,3,1,0,diagnostics_only_residual,,,0.27259357699390957,0.23087717761763774,0.09876392036676407,0.12142751442450195,0.052862316370010376,0.2466799020767212,0.11518368828501115,0.5211154701494511,0.19471684709035625,0.12626592814922333,0.1988467574119568,0.30880176748404,0.04138755980861244,0.0871090441942215,0.15968987345695496,0.3670289662959244,0.16172248803827752,0.06639540195465088,0.13897623121738434,0.4006393586338928,0.2657894736842105,,,,,,,,,,,"20260708,20260709,20260710"
ensemble,3,2,0,frozen_ar_only,,,0.2697363331360879,0.22502393479971342,0.10595384240150452,0.12677682960228515,0.065830759704113,0.23829644918441772,0.12487884943222567,0.5501276578251685,0.18982391182790548,0.11972099542617798,0.19230182468891144,0.2971464353410716,0.04043062200956938,0.08633942902088165,0.1589202582836151,0.3634677887060743,0.15885167464114833,0.06682953238487244,0.1394103616476059,0.4001659795586578,0.26267942583732057,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,real_residual,,,0.29263449302847305,0.25396260066351606,0.10360915213823318,0.12488750894597257,0.0634009912610054,0.2369820475578308,0.2051299048020305,0.7028270946094345,0.2051299048020305,0.12620674073696136,0.19878756999969482,0.3068568205521251,0.04114832535885168,0.09535489976406097,0.16793572902679443,0.3825989689270685,0.17033492822966506,0.07416844367980957,0.14674927294254303,0.4202581044468909,0.28038277511961723,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,shuffled_pca_residual,,,0.2701016614448109,0.22594162197643786,0.10574446618556976,0.12661323531215332,0.06551913917064667,0.23862576484680176,0.18136023475513738,0.6637718493323167,0.1900113722781901,0.1199679970741272,0.19254882633686066,0.29783899066748015,0.04066985645933014,0.0868820995092392,0.15946292877197266,0.36468808849270284,0.15861244019138757,0.06712493300437927,0.13970576226711273,0.40105211060133517,0.26291866028708133,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,random_pca_residual,,,0.2696539560068895,0.22538351533704817,0.10548781603574753,0.12639923308457102,0.06506878137588501,0.23912137746810913,0.18224709038664222,0.6684107208770435,0.18959138263703726,0.11982002854347229,0.19240085780620575,0.2975350003070339,0.04066985645933014,0.08679333329200745,0.1593741625547409,0.3644201483072818,0.15885167464114833,0.06657354533672333,0.1391543745994568,0.3996443517974775,0.26220095693779905,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,label_permutation_residual,,,0.2730598787455495,0.22999266573044178,0.10446766018867493,0.12548996593962394,0.06364324688911438,0.24016326665878296,0.1916274709763907,0.6841742271882104,0.1916274709763907,0.12151254713535309,0.19409337639808655,0.30029536501964604,0.04066985645933014,0.08651052415370941,0.15909135341644287,0.36434758538224704,0.15861244019138757,0.06746937334537506,0.14005020260810852,0.40223636061446927,0.2645933014354067,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,train_only_video_mean_residual,,,0.2697789069101083,0.2247651039432764,0.10583920776844025,0.12668585152675638,0.06565061956644058,0.2384781688451767,0.18989951147769074,0.6787434901897202,0.18989951147769074,0.12110178172588348,0.19368261098861694,0.29898419491105493,0.04090909090909091,0.08623448014259338,0.15881530940532684,0.3633462141175487,0.1583732057416268,0.06681860983371735,0.1393994390964508,0.40019414096444994,0.26267942583732057,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,2,0,diagnostics_only_residual,,,0.27187380204159095,0.22569277993003975,0.10502597689628601,0.1259785141904595,0.06440776586532593,0.23919235169887543,0.19206679257326376,0.6818916913605375,0.19206679257326376,0.12490944564342499,0.19749027490615845,0.30514628035128005,0.04090909090909091,0.08854670822620392,0.16112753748893738,0.3686201959825879,0.16052631578947368,0.06661312282085419,0.13919395208358765,0.40052684016708273,0.2624401913875598,,,,,,,,,,,"20260711,20260712,20260713"
ensemble,3,3,0,frozen_ar_only,,,0.263321920307569,0.22887127453465295,0.1080683171749115,0.13009861535562223,0.06841840595006943,0.23200584948062897,0.07271354542442432,0.4049950669752969,0.18358915117053004,0.12624800205230713,0.1988288313150406,0.30498117904888133,0.04066985645933014,0.08457708358764648,0.15715791285037994,0.3597498613008352,0.15430622009569378,0.06497156620025635,0.1375523954629898,0.39511621458101837,0.254066985645933,,,,,,,,,,,"20260714,20260715,20260716"
