accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,feature_mode,mask,model,n_neg_mean,n_pos,negative_ratio,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,seed_count,split,target,task_type,threshold
0.5,0.0011682242990654125,0.5000000000000001,0.001168224299065429,0.6656254062658044,0.0005200204199575239,cortical_fast_default,balanced_event_vs_stable,ar,428.0,428.0,1:1,0.53522206584772,0.012446958844470645,0.5000006887984023,0.000586856723756447,0.9953271028037383,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.5076518691588785,0.00499031455580542,0.5076518691588785,0.004990314555805424,0.6610717742904105,0.002270246407343155,cortical_fast_default,balanced_event_vs_stable,real,428.0,428.0,1:1,0.5417416006105307,0.011345181668641475,0.504030011525348,0.0026390243767930284,0.9602803738317757,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.4977219626168223,0.0018276270849488226,0.4977219626168223,0.0018276270849488226,0.6619767083189062,0.0008144384968241015,cortical_fast_default,balanced_event_vs_stable,shuffled,428.0,428.0,1:1,0.5364092561525688,0.012529495198654069,0.49884643320738586,0.0009251233953668569,0.983644859813084,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.4985981308411215,0.002627855579252798,0.4985981308411215,0.0026278555792528012,0.6618363068251505,0.001173900974724849,cortical_fast_default,balanced_event_vs_stable,random,428.0,428.0,1:1,0.5366203036621232,0.01201104906962347,0.49929030770866234,0.0013367082775977003,0.9813084112149534,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.5,0.0,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,428.0,428.0,1:1,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.335436137071651,0.0012338769094824645,0.500408878504673,0.0009254076821118587,0.49961926664709677,0.0004641890207801173,cortical_fast_default,balanced_event_vs_stable,ar,856.0,428.0,1:2,0.3739634450304615,0.005918563637320478,0.3335165234689402,0.0004137021985633597,0.9953271028037383,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.3615264797507788,0.003548531386259972,0.511214953271028,0.0026613985396949725,0.5006738553101673,0.0013905322520559504,cortical_fast_default,balanced_event_vs_stable,real,856.0,428.0,1:2,0.3819751169400488,0.005828901921623073,0.33861080684801476,0.0012723973306359587,0.9602803738317757,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.3375,0.0024414987288811927,0.499036214953271,0.0018311240466608863,0.49744654085819995,0.0009210522125807577,cortical_fast_default,balanced_event_vs_stable,shuffled,856.0,428.0,1:2,0.3751483374316729,0.00616165834045757,0.33290047524012645,0.0008249191451466452,0.983644859813084,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.3390965732087228,0.0028123785179544796,0.4996495327102804,0.0021092838884658642,0.4974557848331034,0.0010629139945915838,cortical_fast_default,balanced_event_vs_stable,random,856.0,428.0,1:2,0.3756760475238709,0.0060691614795118365,0.33317740961638687,0.000953335364829021,0.9813084112149534,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.6666666666666665,1.1102230246251565e-16,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,856.0,428.0,1:2,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.2523948598130842,0.0011667631048737257,0.5000389408099689,0.0007778420699158167,0.39964386139307073,0.00037452077534737337,cortical_fast_default,balanced_event_vs_stable,ar,1284.0,428.0,1:3,0.2915328043019872,0.006974747212617613,0.2500150159027705,0.0002931655266879179,0.9953271028037383,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.2849883177570094,0.003034573646696385,0.5100856697819316,0.0020230490977976097,0.4017424899209896,0.0010218393246789455,cortical_fast_default,balanced_event_vs_stable,real,1284.0,428.0,1:3,0.2989968742494667,0.006394168651168314,0.2540042310027876,0.0008173356442867721,0.9602803738317757,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.25581191588785046,0.002010525558352299,0.4984228971962616,0.001340350372234865,0.3979122553545681,0.0006472790420704117,cortical_fast_default,balanced_event_vs_stable,shuffled,1284.0,428.0,1:3,0.29254847847891974,0.007126542889738616,0.24940123248346277,0.0005085673642942749,0.983644859813084,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.2581191588785047,0.0017513626577762792,0.4991822429906542,0.001167575105184184,0.3980862024981343,0.0005656120135734655,cortical_fast_default,balanced_event_vs_stable,random,1284.0,428.0,1:3,0.2927582309269609,0.007153801032404676,0.2496886833878324,0.0004450235958959722,0.9813084112149534,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.75,0.0,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,1284.0,428.0,1:3,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.075
0.5373563218390804,0.011707786659461697,0.5373563218390804,0.011707786659461705,0.6487788130049009,0.005798510761883759,cortical_fast_default,balanced_event_vs_stable,ar,261.0,261.0,1:1,0.5531957764421762,0.013158390443131482,0.5229688187968632,0.007561693130184352,0.8544061302681992,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.1
0.5179118773946361,0.009092556244415153,0.5179118773946361,0.009092556244415153,0.65979862085036,0.004224411486861728,cortical_fast_default,balanced_event_vs_stable,real,261.0,261.0,1:1,0.5564915860903697,0.013607168834100807,0.5098170090014883,0.005038162702580438,0.9348659003831417,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.1
