best_lag_seconds,event_count,feature_mode,max_correlation,reliable,target,threshold,video_id
2,2,cortical_pca64_delta,0.635138186066247,False,arousal__future_spike_1_3s,0.05,22
8,10,cortical_pca64_delta,-0.7402708152223989,True,arousal__future_spike_1_3s,0.05,23
-8,1,cortical_pca64_delta,0.4343825380915519,False,arousal__future_spike_1_3s,0.05,24
2,4,cortical_pca64_delta,0.7256649193383485,True,arousal__future_spike_1_3s,0.05,25
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,26
3,1,cortical_pca64_delta,0.4515293344644379,False,arousal__future_spike_1_3s,0.05,27
9,1,cortical_pca64_delta,0.7165640136244072,False,arousal__future_spike_1_3s,0.05,28
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,29
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,30
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,31
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,32
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,33
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,34
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,35
9,3,cortical_pca64_delta,0.7180643689396566,True,arousal__future_spike_1_3s,0.05,36
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,37
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,38
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,39
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,40
2,13,cortical_pca64_delta,0.9371113090708623,True,arousal__future_spike_1_3s,0.05,41
0,1,cortical_pca64_delta,-0.3424249875532726,False,arousal__future_spike_1_3s,0.05,42
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,43
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,44
-10,7,cortical_pca64_delta,0.8301018239315827,True,arousal__future_spike_1_3s,0.05,45
-3,2,cortical_pca64_delta,-0.4939146003992241,False,arousal__future_spike_1_3s,0.05,46
10,1,cortical_pca64_delta,-0.5356995892948994,False,arousal__future_spike_1_3s,0.05,47
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,48
-6,11,cortical_pca64_delta,-0.8311667947024608,True,arousal__future_spike_1_3s,0.05,49
10,4,cortical_pca64_delta,-0.843996295797833,True,arousal__future_spike_1_3s,0.05,50
-5,2,cortical_pca64_delta,-0.7108070382332011,False,arousal__future_spike_1_3s,0.05,51
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,53
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,54
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,55
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,56
2,1,cortical_pca64_delta,0.4682673171191085,False,arousal__future_spike_1_3s,0.05,57
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,58
3,9,cortical_pca64_delta,0.7120302156847726,True,arousal__future_spike_1_3s,0.05,59
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,60
6,9,cortical_pca64_delta,-0.8148516035337864,True,arousal__future_spike_1_3s,0.05,61
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,62
7,3,cortical_pca64_delta,1.0,False,arousal__future_spike_1_3s,0.05,63
3,4,cortical_pca64_delta,0.7737236404114551,True,arousal__future_spike_1_3s,0.05,64
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,65
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,66
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,67
-8,5,cortical_pca64_delta,-0.9136037412163689,True,arousal__future_spike_1_3s,0.05,68
7,2,cortical_pca64_delta,-0.5362100314680475,False,arousal__future_spike_1_3s,0.05,69
-6,4,cortical_pca64_delta,-0.7405119376064173,True,arousal__future_spike_1_3s,0.05,70
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,71
10,3,cortical_pca64_delta,-0.598693901078027,True,arousal__future_spike_1_3s,0.05,72
10,12,cortical_pca64_delta,-0.6770395060768661,True,arousal__future_spike_1_3s,0.05,73
-4,3,cortical_pca64_delta,0.4053012773593779,True,arousal__future_spike_1_3s,0.05,74
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,75
1,5,cortical_pca64_delta,0.7418862445942543,True,arousal__future_spike_1_3s,0.05,76
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,77
10,4,cortical_pca64_delta,-0.8183737612923501,True,arousal__future_spike_1_3s,0.05,78
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,79
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,80
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,82
-7,5,cortical_pca64_delta,-0.5224248665638869,True,arousal__future_spike_1_3s,0.05,83
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,84
6,11,cortical_pca64_delta,-0.5137549076153696,True,arousal__future_spike_1_3s,0.05,85
-8,3,cortical_pca64_delta,0.7364929045838782,True,arousal__future_spike_1_3s,0.05,86
6,3,cortical_pca64_delta,-0.4068264714053767,True,arousal__future_spike_1_3s,0.05,87
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,88
9,13,cortical_pca64_delta,0.8268755149798427,True,arousal__future_spike_1_3s,0.05,89
-3,6,cortical_pca64_delta,-0.5202712389044865,True,arousal__future_spike_1_3s,0.05,90
-10,9,cortical_pca64_delta,-0.6060525573841549,True,arousal__future_spike_1_3s,0.05,91
-9,5,cortical_pca64_delta,-0.9335082915216847,True,arousal__future_spike_1_3s,0.05,92
3,8,cortical_pca64_delta,0.3320533375947433,True,arousal__future_spike_1_3s,0.05,93
-9,6,cortical_pca64_delta,-0.791852060926533,True,arousal__future_spike_1_3s,0.05,94
-4,3,cortical_pca64_delta,0.942620322232093,False,arousal__future_spike_1_3s,0.05,95
3,5,cortical_pca64_delta,0.5653425451454239,True,arousal__future_spike_1_3s,0.05,96
-7,6,cortical_pca64_delta,-0.5770511850842568,True,arousal__future_spike_1_3s,0.05,97
-2,1,cortical_pca64_delta,-0.35757198941401347,False,arousal__future_spike_1_3s,0.05,98
-7,4,cortical_pca64_delta,-0.3173182440385976,True,arousal__future_spike_1_3s,0.05,99
-10,9,cortical_pca64_delta,-0.9662317286964758,True,arousal__future_spike_1_3s,0.05,100
-10,3,cortical_pca64_delta,-0.8856436655660256,True,arousal__future_spike_1_3s,0.05,101
-1,5,cortical_pca64_delta,-0.4330790735154062,True,arousal__future_spike_1_3s,0.05,102
-10,5,cortical_pca64_delta,-0.7479830951752781,True,arousal__future_spike_1_3s,0.05,103
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,104
10,1,cortical_pca64_delta,-0.468680016976656,False,arousal__future_spike_1_3s,0.05,105
-7,7,cortical_pca64_delta,-0.7589617133875991,True,arousal__future_spike_1_3s,0.05,106
-4,4,cortical_pca64_delta,-0.6867327058143359,True,arousal__future_spike_1_3s,0.05,107
10,1,cortical_pca64_delta,0.45997475913297026,False,arousal__future_spike_1_3s,0.05,108
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,109
2,9,cortical_pca64_delta,0.6718299531704128,True,arousal__future_spike_1_3s,0.05,110
2,16,cortical_pca64_delta,0.8122116130158101,True,arousal__future_spike_1_3s,0.05,111
3,9,cortical_pca64_delta,0.6060305949776891,True,arousal__future_spike_1_3s,0.05,112
3,7,cortical_pca64_delta,0.7747932915665543,True,arousal__future_spike_1_3s,0.05,113
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,114
-10,5,cortical_pca64_delta,-0.6370861293598112,True,arousal__future_spike_1_3s,0.05,115
3,9,cortical_pca64_delta,0.8354991035245937,True,arousal__future_spike_1_3s,0.05,116
3,8,cortical_pca64_delta,0.5964641875357853,True,arousal__future_spike_1_3s,0.05,117
2,10,cortical_pca64_delta,0.5314874743556759,True,arousal__future_spike_1_3s,0.05,118
3,5,cortical_pca64_delta,0.4401980499252025,True,arousal__future_spike_1_3s,0.05,119
-7,7,cortical_pca64_delta,-0.4578341245480152,True,arousal__future_spike_1_3s,0.05,120
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,121
-9,3,cortical_pca64_delta,0.9551583453975949,True,arousal__future_spike_1_3s,0.05,122
3,4,cortical_pca64_delta,0.956174995239192,True,arousal__future_spike_1_3s,0.05,123
