target_name,target_type,seed,control_type,epoch,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,inner_val_selection_policy,inner_val_spearman_delta_vs_frozen_ar
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,15,0.15747745241969824,0.22215139778419066,5.05048480278214e-05,pr_auc_delta_vs_frozen_ar,0.00209868885576725,0.09430806338787079,0.52208411693573,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,16,0.1575418971478939,0.22215093478611275,5.004184994991667e-05,pr_auc_delta_vs_frozen_ar,0.0021101029124110937,0.09417486190795898,0.5206553339958191,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,17,0.15736072696745396,0.2221511651730525,5.0272236889664645e-05,pr_auc_delta_vs_frozen_ar,0.0021198017057031393,0.09371224790811539,0.5187146663665771,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,18,0.15747080650180578,0.22215153333771687,5.064040155403071e-05,pr_auc_delta_vs_frozen_ar,0.0021284555550664663,0.09254942834377289,0.5111740827560425,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,19,0.15727361757308245,0.22215170410067736,5.081116451452483e-05,pr_auc_delta_vs_frozen_ar,0.0021378397941589355,0.09238788485527039,0.5106844305992126,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,20,0.15718704648315907,0.22215374777960384,5.285484344100255e-05,pr_auc_delta_vs_frozen_ar,0.0021455539390444756,0.0922129824757576,0.5092442035675049,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,21,0.15742384642362595,0.2221545755999655,5.3682663802651076e-05,pr_auc_delta_vs_frozen_ar,0.002152706729248166,0.09184394776821136,0.507640540599823,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,22,0.15751639753580093,0.22215486053151334,5.396759535050699e-05,pr_auc_delta_vs_frozen_ar,0.0021600329782813787,0.09105879813432693,0.5045942068099976,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,23,0.1572689963504672,0.22215591657031378,5.502363415094136e-05,pr_auc_delta_vs_frozen_ar,0.002166033023968339,0.09033078700304031,0.5023055076599121,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,24,0.15736280661076307,0.2221565550700928,5.566213392996233e-05,pr_auc_delta_vs_frozen_ar,0.0021731762681156397,0.0906313806772232,0.5054578185081482,true_inner_val_labels_targets,
