target_name,validation_protocol,pca_width,model_lane,mean_pr_auc
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_random_matched_PCA_control,0.11376952481529926
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_shuffled_PCA_control,0.11364893849223193
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,64,PCA_only,0.12164006507178367
arousal_abs_delta_p4rows_train_q90,grouped_video,64,PCA_plus_temporal_diagnostics,0.12210213397417904
arousal_abs_delta_p4rows_train_q90,grouped_video,64,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,64,random_matched_PCA_control,0.1024888745831873
arousal_abs_delta_p4rows_train_q90,grouped_video,64,residualized_AR_plus_PCA,0.12301895055237617
arousal_abs_delta_p4rows_train_q90,grouped_video,64,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12361760450011752
arousal_abs_delta_p4rows_train_q90,grouped_video,64,shuffled_PCA_control,0.10229235169967539
arousal_abs_delta_p4rows_train_q90,grouped_video,64,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,64,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_PCA,0.12326676768389289
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_PCA_plus_temporal_diagnostics,0.12373800542160529
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_random_matched_PCA_control,0.11188248395191273
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_shuffled_PCA_control,0.11632815368548506
arousal_abs_delta_p4rows_train_q90,grouped_video,128,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,128,PCA_only,0.12219378732960469
arousal_abs_delta_p4rows_train_q90,grouped_video,128,PCA_plus_temporal_diagnostics,0.12285133445596934
arousal_abs_delta_p4rows_train_q90,grouped_video,128,quality_motion_luma_only_control,0.10670929017483921
