target_name,validation_protocol,feature_family,model_lane,mean_pr_auc
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_shuffled_PCA_control,0.2591142478009921
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_timestamp_video_time_control,0.2556829978095883
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,PCA_only,0.1252567443806939
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,PCA_plus_temporal_diagnostics,0.12599764600585048
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,quality_motion_luma_only_control,0.10377518029461327
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,random_matched_PCA_control,0.1085253548494302
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,residualized_AR_plus_PCA,0.23615027403447741
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.22987601628066845
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,shuffled_PCA_control,0.1086487888333732
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,shuffled_temporal_diagnostics_control,0.10546915549363128
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,timestamp_video_time_only_control,0.10565966814498567
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_only,0.26193773027780903
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_PCA,0.25879449535893845
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_PCA_plus_temporal_diagnostics,0.2386112761339361
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_quality_motion_luma_control,0.24884582991796253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_random_matched_PCA_control,0.2567937139943989
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_shuffled_PCA_control,0.2590761042716357
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,AR_plus_timestamp_video_time_control,0.2556829978095883
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,PCA_only,0.11001134924372219
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,PCA_plus_temporal_diagnostics,0.10999367629739253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,quality_motion_luma_only_control,0.10377518029461327
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,random_matched_PCA_control,0.10872193486454584
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,residualized_AR_plus_PCA,0.25851804693373703
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.23778849787847728
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,shuffled_PCA_control,0.10852607704658587
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,shuffled_temporal_diagnostics_control,0.10546915549363128
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,delta,timestamp_video_time_only_control,0.10565966814498567
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_only,0.26193773027780903
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_PCA,0.25729691547737726
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_PCA_plus_temporal_diagnostics,0.2376909581697423
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_quality_motion_luma_control,0.24884582991796253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_random_matched_PCA_control,0.25955891349860843
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_shuffled_PCA_control,0.26046896027000677
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,AR_plus_timestamp_video_time_control,0.2556829978095883
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,PCA_only,0.1252567443806939
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,PCA_plus_temporal_diagnostics,0.1267456924559298
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,quality_motion_luma_only_control,0.10377518029461327
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,random_matched_PCA_control,0.10958884565077992
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,residualized_AR_plus_PCA,0.2567590534624373
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.23832381271620115
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,shuffled_PCA_control,0.10901903317471129
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,shuffled_temporal_diagnostics_control,0.10546915549363128
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,pca_then_temporal,timestamp_video_time_only_control,0.10565966814498567
