protocol,fold,seed,lane,actual_feature_policy,feature_policy_pass,label_permutation_policy_pass,train_only_video_mean_policy_pass,control_policy_pass
grouped_video,1,20260632,label_permutation_residual,real,True,True,True,True
grouped_video,1,20260632,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,1,20260632,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
grouped_video,1,20260633,real_residual,real,True,True,True,True
grouped_video,1,20260633,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
grouped_video,1,20260633,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
grouped_video,1,20260633,label_permutation_residual,real,True,True,True,True
grouped_video,1,20260633,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,1,20260633,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
grouped_video,1,20260634,real_residual,real,True,True,True,True
grouped_video,1,20260634,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
grouped_video,1,20260634,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
grouped_video,1,20260634,label_permutation_residual,real,True,True,True,True
grouped_video,1,20260634,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,1,20260634,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
grouped_video,2,20260625,real_residual,real,True,True,True,True
grouped_video,2,20260625,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
grouped_video,2,20260625,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
grouped_video,2,20260625,label_permutation_residual,real,True,True,True,True
grouped_video,2,20260625,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,2,20260625,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
grouped_video,2,20260626,real_residual,real,True,True,True,True
grouped_video,2,20260626,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
grouped_video,2,20260626,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
grouped_video,2,20260626,label_permutation_residual,real,True,True,True,True
grouped_video,2,20260626,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,2,20260626,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
grouped_video,2,20260627,real_residual,real,True,True,True,True
grouped_video,2,20260627,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
grouped_video,2,20260627,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
grouped_video,2,20260627,label_permutation_residual,real,True,True,True,True
grouped_video,2,20260627,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
grouped_video,2,20260627,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
