control,control_gain,feature_mode,fold,offset_seconds,offset_specific_gain,real_gain,target,threshold
shuffled,-0.00297055002767338,cortical_pca_64,grouped_0,2.0,-0.005111380574175817,-0.008081930601849197,arousal__future_spike_1_3s,0.05
random,-0.0057507299319320415,cortical_pca_64,grouped_0,2.0,-0.002331200669917155,-0.008081930601849197,arousal__future_spike_1_3s,0.05
timestamp,0.0018420156278368405,cortical_pca_64,grouped_0,2.0,-0.009923946229686037,-0.008081930601849197,arousal__future_spike_1_3s,0.05
video_time,-0.0005225807393248183,cortical_pca_64,grouped_0,2.0,-0.007559349862524378,-0.008081930601849197,arousal__future_spike_1_3s,0.05
ar,-0.006934550404377959,cortical_pca_64,grouped_0,2.5,-0.0017322464942850502,-0.00866679689866301,arousal__future_spike_1_3s,0.05
shuffled,0.002759809174479877,cortical_pca_64,grouped_0,2.5,-0.011426606073142886,-0.00866679689866301,arousal__future_spike_1_3s,0.05
random,-0.01259441133481426,cortical_pca_64,grouped_0,2.5,0.00392761443615125,-0.00866679689866301,arousal__future_spike_1_3s,0.05
timestamp,-0.003069732233113742,cortical_pca_64,grouped_0,2.5,-0.005597064665549267,-0.00866679689866301,arousal__future_spike_1_3s,0.05
video_time,-0.004973952826989592,cortical_pca_64,grouped_0,2.5,-0.003692844071673418,-0.00866679689866301,arousal__future_spike_1_3s,0.05
ar,-0.006934550404377959,cortical_pca_64,grouped_0,3.0,-0.0035072030748853344,-0.010441753479263294,arousal__future_spike_1_3s,0.05
shuffled,0.004431749457206313,cortical_pca_64,grouped_0,3.0,-0.014873502936469607,-0.010441753479263294,arousal__future_spike_1_3s,0.05
random,-0.01469789780414471,cortical_pca_64,grouped_0,3.0,0.004256144324881417,-0.010441753479263294,arousal__future_spike_1_3s,0.05
timestamp,-0.003069732233113742,cortical_pca_64,grouped_0,3.0,-0.0073720212461495516,-0.010441753479263294,arousal__future_spike_1_3s,0.05
video_time,-0.004973952826989592,cortical_pca_64,grouped_0,3.0,-0.005467800652273702,-0.010441753479263294,arousal__future_spike_1_3s,0.05
ar,-0.00959115690258383,cortical_pca_64,grouped_0,4.0,-0.010031760449918548,-0.019622917352502378,arousal__future_spike_1_3s,0.05
shuffled,-0.004725512287862832,cortical_pca_64,grouped_0,4.0,-0.014897405064639546,-0.019622917352502378,arousal__future_spike_1_3s,0.05
random,-0.011083097437384282,cortical_pca_64,grouped_0,4.0,-0.008539819915118096,-0.019622917352502378,arousal__future_spike_1_3s,0.05
timestamp,-0.00010359278965682561,cortical_pca_64,grouped_0,4.0,-0.019519324562845553,-0.019622917352502378,arousal__future_spike_1_3s,0.05
video_time,-0.010825627727069936,cortical_pca_64,grouped_0,4.0,-0.008797289625432442,-0.019622917352502378,arousal__future_spike_1_3s,0.05
ar,-0.01587023368288637,cortical_pca_64,grouped_0,6.0,-0.027016840727012215,-0.042887074409898585,arousal__future_spike_1_3s,0.05
shuffled,-0.010968134109321015,cortical_pca_64,grouped_0,6.0,-0.03191894030057757,-0.042887074409898585,arousal__future_spike_1_3s,0.05
random,-0.02310278580076669,cortical_pca_64,grouped_0,6.0,-0.019784288609131895,-0.042887074409898585,arousal__future_spike_1_3s,0.05
timestamp,-0.005744987771822613,cortical_pca_64,grouped_0,6.0,-0.03714208663807597,-0.042887074409898585,arousal__future_spike_1_3s,0.05
video_time,-0.012757785103391539,cortical_pca_64,grouped_0,6.0,-0.030129289306507046,-0.042887074409898585,arousal__future_spike_1_3s,0.05
ar,-0.017133793739500747,cortical_pca_64,grouped_0,8.0,-0.03172634739404939,-0.04886014113355014,arousal__future_spike_1_3s,0.05
shuffled,-0.007909429237074217,cortical_pca_64,grouped_0,8.0,-0.04095071189647592,-0.04886014113355014,arousal__future_spike_1_3s,0.05
random,-0.01519072083206019,cortical_pca_64,grouped_0,8.0,-0.03366942030148995,-0.04886014113355014,arousal__future_spike_1_3s,0.05
