context_specific_gain,control,control_gain,feature_mode,fold,real_gain,target,threshold,window_name
-0.011976600816613503,shuffled,0.005849255157685362,cortical_pca_64,grouped_1,-0.0061273456589281405,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.03874761222332118,random,0.03262026656439304,cortical_pca_64,grouped_1,-0.0061273456589281405,arousal__future_spike_1_3s,0.075,causal_past_3s
0.008953359640015979,timestamp,-0.01508070529894412,cortical_pca_64,grouped_1,-0.0061273456589281405,arousal__future_spike_1_3s,0.075,causal_past_3s
0.003493047979149344,video_time,-0.009620393638077485,cortical_pca_64,grouped_1,-0.0061273456589281405,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.06423111286217076,ar,0.017857604855587017,cortical_pca_64,grouped_1,-0.04637350800658374,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.03613212832905316,shuffled,-0.010241379677530582,cortical_pca_64,grouped_1,-0.04637350800658374,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.05279034921596015,random,0.0064168412093764116,cortical_pca_64,grouped_1,-0.04637350800658374,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.018427486577819174,timestamp,-0.027946021428764567,cortical_pca_64,grouped_1,-0.04637350800658374,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.05727172748202217,video_time,0.010898219475438425,cortical_pca_64,grouped_1,-0.04637350800658374,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.02428086391360068,ar,-0.017692431310445678,cortical_pca_64,grouped_1,-0.04197329522404636,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.02130044017439431,shuffled,-0.02067285504965205,cortical_pca_64,grouped_1,-0.04197329522404636,arousal__future_change_p3s_movement,0.05,causal_past_3s
0.0012745606838642787,random,-0.04324785590791064,cortical_pca_64,grouped_1,-0.04197329522404636,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.010032657275787726,timestamp,-0.03194063794825863,cortical_pca_64,grouped_1,-0.04197329522404636,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.01841879067820068,video_time,-0.023554504545845678,cortical_pca_64,grouped_1,-0.04197329522404636,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.013057101668460747,ar,-0.016600475680957516,cortical_pca_64,grouped_1,-0.029657577349418263,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.0010231804835235114,shuffled,-0.030680757832941774,cortical_pca_64,grouped_1,-0.029657577349418263,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.00571105389208143,random,-0.03536863124149969,cortical_pca_64,grouped_1,-0.029657577349418263,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.011961117955216094,timestamp,-0.04161869530463436,cortical_pca_64,grouped_1,-0.029657577349418263,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.007352208722919418,video_time,-0.03700978607233768,cortical_pca_64,grouped_1,-0.029657577349418263,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.001665966348319503,ar,-0.0013654480288904924,cortical_pca_64,grouped_1,0.00030051831942901064,arousal__future_change_p3s_movement,0.075,causal_past_3s
-0.008548385007927595,shuffled,0.008848903327356605,cortical_pca_64,grouped_1,0.00030051831942901064,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.008434078268399425,random,-0.008133559948970415,cortical_pca_64,grouped_1,0.00030051831942901064,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.026503636637330824,timestamp,-0.026203118317901813,cortical_pca_64,grouped_1,0.00030051831942901064,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.017576084394462455,video_time,-0.017275566075033444,cortical_pca_64,grouped_1,0.00030051831942901064,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.005714461725250142,ar,-0.009230927561010793,cortical_pca_64,grouped_1,-0.0035164658357606515,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.02880757689340796,shuffled,-0.03232404272916861,cortical_pca_64,grouped_1,-0.0035164658357606515,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.024281192480910707,random,-0.02779765831667136,cortical_pca_64,grouped_1,-0.0035164658357606515,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.026226379110033476,timestamp,-0.029742844945794128,cortical_pca_64,grouped_1,-0.0035164658357606515,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.02001391941913705,video_time,-0.0235303852548977,cortical_pca_64,grouped_1,-0.0035164658357606515,arousal__future_change_p3s_movement,0.075,causal_past_5s
-0.01081517846157759,ar,0.026287554943690672,cortical_pca_64,grouped_2,0.015472376482113082,arousal__future_spike_1_3s,0.05,causal_past_3s
0.004657004477335636,shuffled,0.010815372004777446,cortical_pca_64,grouped_2,0.015472376482113082,arousal__future_spike_1_3s,0.05,causal_past_3s
0.007028848250463626,random,0.008443528231649455,cortical_pca_64,grouped_2,0.015472376482113082,arousal__future_spike_1_3s,0.05,causal_past_3s
0.030716616629910154,timestamp,-0.015244240147797072,cortical_pca_64,grouped_2,0.015472376482113082,arousal__future_spike_1_3s,0.05,causal_past_3s
0.04015759271326977,video_time,-0.024685216231156687,cortical_pca_64,grouped_2,0.015472376482113082,arousal__future_spike_1_3s,0.05,causal_past_3s
0.0006536421623214994,ar,0.004473814925188002,cortical_pca_64,grouped_2,0.005127457087509502,arousal__future_spike_1_3s,0.05,causal_past_5s
0.00869263445780638,shuffled,-0.003565177370296879,cortical_pca_64,grouped_2,0.005127457087509502,arousal__future_spike_1_3s,0.05,causal_past_5s
0.01130336661381276,random,-0.006175909526303258,cortical_pca_64,grouped_2,0.005127457087509502,arousal__future_spike_1_3s,0.05,causal_past_5s
0.04151714915042884,timestamp,-0.03638969206291934,cortical_pca_64,grouped_2,0.005127457087509502,arousal__future_spike_1_3s,0.05,causal_past_5s
0.04333042540232121,video_time,-0.03820296831481171,cortical_pca_64,grouped_2,0.005127457087509502,arousal__future_spike_1_3s,0.05,causal_past_5s
0.02678491748554407,ar,0.01357042363329014,cortical_pca_64,grouped_2,0.04035534111883421,arousal__future_spike_1_3s,0.075,causal_past_3s
0.04228314954296036,shuffled,-0.001927808424126154,cortical_pca_64,grouped_2,0.04035534111883421,arousal__future_spike_1_3s,0.075,causal_past_3s
0.03569829961147203,random,0.004657041507362181,cortical_pca_64,grouped_2,0.04035534111883421,arousal__future_spike_1_3s,0.075,causal_past_3s
0.06730625561235945,timestamp,-0.02695091449352524,cortical_pca_64,grouped_2,0.04035534111883421,arousal__future_spike_1_3s,0.075,causal_past_3s
0.06902407068789886,video_time,-0.028668729569064647,cortical_pca_64,grouped_2,0.04035534111883421,arousal__future_spike_1_3s,0.075,causal_past_3s
0.033330289070162666,ar,-0.009097171632496681,cortical_pca_64,grouped_2,0.024233117437665985,arousal__future_spike_1_3s,0.075,causal_past_5s
0.05483966181067085,shuffled,-0.030606544373004863,cortical_pca_64,grouped_2,0.024233117437665985,arousal__future_spike_1_3s,0.075,causal_past_5s
0.03262608590367,random,-0.008392968466004014,cortical_pca_64,grouped_2,0.024233117437665985,arousal__future_spike_1_3s,0.075,causal_past_5s
0.07152696908720087,timestamp,-0.04729385164953488,cortical_pca_64,grouped_2,0.024233117437665985,arousal__future_spike_1_3s,0.075,causal_past_5s
0.05989104860830986,video_time,-0.03565793117064388,cortical_pca_64,grouped_2,0.024233117437665985,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.006499285215629258,ar,-0.011188513111916931,cortical_pca_64,grouped_2,-0.01768779832754619,arousal__future_change_p3s_movement,0.05,causal_past_3s
0.01162854014474235,shuffled,-0.02931633847228854,cortical_pca_64,grouped_2,-0.01768779832754619,arousal__future_change_p3s_movement,0.05,causal_past_3s
0.0073291178946655045,random,-0.025016916222211694,cortical_pca_64,grouped_2,-0.01768779832754619,arousal__future_change_p3s_movement,0.05,causal_past_3s
0.013324787730819798,timestamp,-0.031012586058365987,cortical_pca_64,grouped_2,-0.01768779832754619,arousal__future_change_p3s_movement,0.05,causal_past_3s
0.01621533044449508,video_time,-0.03390312877204127,cortical_pca_64,grouped_2,-0.01768779832754619,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.014659154328692803,ar,-0.027655879406735473,cortical_pca_64,grouped_2,-0.042315033735428276,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.00211395953987753,shuffled,-0.044428993275305806,cortical_pca_64,grouped_2,-0.042315033735428276,arousal__future_change_p3s_movement,0.05,causal_past_5s
-0.003113565764997106,random,-0.03920146797043117,cortical_pca_64,grouped_2,-0.042315033735428276,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.028768828747449182,timestamp,-0.07108386248287746,cortical_pca_64,grouped_2,-0.042315033735428276,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.027655012795039402,video_time,-0.06997004653046768,cortical_pca_64,grouped_2,-0.042315033735428276,arousal__future_change_p3s_movement,0.05,causal_past_5s
0.026312178327078495,ar,-0.025036867493045012,cortical_pca_64,grouped_2,0.0012753108340334829,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.04678611847467906,shuffled,-0.04551080764064558,cortical_pca_64,grouped_2,0.0012753108340334829,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.02427887894887293,random,-0.023003568114839446,cortical_pca_64,grouped_2,0.0012753108340334829,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.060299717681844806,timestamp,-0.05902440684781132,cortical_pca_64,grouped_2,0.0012753108340334829,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.05968667685537976,video_time,-0.05841136602134628,cortical_pca_64,grouped_2,0.0012753108340334829,arousal__future_change_p3s_movement,0.075,causal_past_3s
0.009107800393844845,ar,-0.039392993038935675,cortical_pca_64,grouped_2,-0.03028519264509083,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.016258932553005256,shuffled,-0.04654412519809609,cortical_pca_64,grouped_2,-0.03028519264509083,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.017990710641245355,random,-0.048275903286336186,cortical_pca_64,grouped_2,-0.03028519264509083,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.05962923876018367,timestamp,-0.0899144314052745,cortical_pca_64,grouped_2,-0.03028519264509083,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.047226458297599194,video_time,-0.07751165094269002,cortical_pca_64,grouped_2,-0.03028519264509083,arousal__future_change_p3s_movement,0.075,causal_past_5s
-0.04236153885510602,ar,0.03417161820858988,cortical_pca_64,grouped_3,-0.008189920646516136,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.005204746627696377,shuffled,-0.0029851740188197584,cortical_pca_64,grouped_3,-0.008189920646516136,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.024099840479101742,random,0.015909919832585606,cortical_pca_64,grouped_3,-0.008189920646516136,arousal__future_spike_1_3s,0.05,causal_past_3s
0.007903208273081275,timestamp,-0.01609312891959741,cortical_pca_64,grouped_3,-0.008189920646516136,arousal__future_spike_1_3s,0.05,causal_past_3s
0.0076938283154953935,video_time,-0.01588374896201153,cortical_pca_64,grouped_3,-0.008189920646516136,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.04009549474626056,ar,0.01975338410809896,cortical_pca_64,grouped_3,-0.020342110638161603,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.01860895314853883,shuffled,-0.001733157489622772,cortical_pca_64,grouped_3,-0.020342110638161603,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.030950275542089845,random,0.010608164903928241,cortical_pca_64,grouped_3,-0.020342110638161603,arousal__future_spike_1_3s,0.05,causal_past_5s
0.006089780701122316,timestamp,-0.02643189133928392,cortical_pca_64,grouped_3,-0.020342110638161603,arousal__future_spike_1_3s,0.05,causal_past_5s
0.0031336207907430025,video_time,-0.023475731428904606,cortical_pca_64,grouped_3,-0.020342110638161603,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.044592693887870904,ar,0.0282139526776517,cortical_pca_64,grouped_3,-0.016378741210219205,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.04383562296488605,shuffled,0.027456881754666845,cortical_pca_64,grouped_3,-0.016378741210219205,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.025452139521824513,random,0.009073398311605307,cortical_pca_64,grouped_3,-0.016378741210219205,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.006571645414733138,timestamp,-0.009807095795486068,cortical_pca_64,grouped_3,-0.016378741210219205,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.009195669139411028,video_time,-0.0071830720708081774,cortical_pca_64,grouped_3,-0.016378741210219205,arousal__future_spike_1_3s,0.075,causal_past_3s
-0.04900365200413778,ar,0.012881736963018364,cortical_pca_64,grouped_3,-0.03612191504111942,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.03666630075216196,shuffled,0.0005443857110425387,cortical_pca_64,grouped_3,-0.03612191504111942,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.045450191424652286,random,0.009328276383532869,cortical_pca_64,grouped_3,-0.03612191504111942,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.018514489110596014,timestamp,-0.017607425930523404,cortical_pca_64,grouped_3,-0.03612191504111942,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.0220913715484726,video_time,-0.014030543492646819,cortical_pca_64,grouped_3,-0.03612191504111942,arousal__future_spike_1_3s,0.075,causal_past_5s
-0.045058549314815066,ar,-0.0005009181890148207,cortical_pca_64,grouped_3,-0.04555946750382989,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.029887002571887922,shuffled,-0.015672464931941965,cortical_pca_64,grouped_3,-0.04555946750382989,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.020270834823262363,random,-0.025288632680567524,cortical_pca_64,grouped_3,-0.04555946750382989,arousal__future_change_p3s_movement,0.05,causal_past_3s
-0.04354133297050167,timestamp,-0.0020181345333282197,cortical_pca_64,grouped_3,-0.04555946750382989,arousal__future_change_p3s_movement,0.05,causal_past_3s
