stage,split_digest,panel,lane,row_type,seed_or_group,cold_start_policy,prediction_sha256,score_mask_digest,compatibility_mask_digest,pooled_continuous_spearman,top_1pct_true_future_movement_lift,top_5pct_true_future_movement_lift,top_10pct_true_future_movement_lift,training_q90_future_event_pr_auc,event_threshold,event_prevalence,first30_pooled_continuous_spearman,first30_top_5pct_true_future_movement_lift,first30_training_q90_future_event_pr_auc,prediction_rows,prediction_finite_fraction,prediction_digest,compat_pooled_continuous_spearman,compat_top_1pct_true_future_movement_lift,compat_top_5pct_true_future_movement_lift,compat_top_10pct_true_future_movement_lift,compat_training_q90_future_event_pr_auc,compat_event_threshold,compat_event_prevalence,compat_first30_pooled_continuous_spearman,compat_first30_top_5pct_true_future_movement_lift,compat_first30_training_q90_future_event_pr_auc,compat_prediction_rows,compat_prediction_finite_fraction,compat_prediction_digest
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,no_video_supervised_temporal,member,20260723,row0_zero_history_no_label_burnin,faa2cf022e59be5e8e660fdcb983314ba8e1dc6c0338fb72ed913607687f63ca,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.07910389043401235,0.044351432451325015,0.05041592756858511,0.0376120833833211,0.13275500242499538,0.21721835577240778,0.11536541889483067,0.10804606786985309,0.036776731437643026,0.1695206979295959,14025,1.0,0d899dcd58d0902e10c6f1730a5b98b1,0.07205498323931003,0.06425882097789819,0.04344256557780343,0.02859797516124804,0.12369743759387218,0.21721835577240778,0.11348290132868656,0.09691925078524201,0.05492447117104697,0.1492311995008463,13773,1.0,1cf351374e054d002c7283c693f932b3
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,no_video_supervised_temporal,ensemble,20260721_20260722_20260723,row0_zero_history_no_label_burnin,a0c1966ce19b4adc9b8ea12a986d1ae8cf82737fe2ece7f42e548e3037739731,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.0801356882292264,0.052525502241377,0.05041592756858514,0.037846681825581194,0.1343075238307395,0.21721835577240778,0.11536541889483067,0.11173403629689219,0.03759106148755141,0.16966441855901668,14025,1.0,c7ef2515cf6a6ff3a1e8aac754baa340,0.07282042042624523,0.06425882097789819,0.04292442924046824,0.02901798523230728,0.12526600027372467,0.21721835577240778,0.11348290132868656,0.1008120619808153,0.05492447117104697,0.14927155424455735,13773,1.0,667c6dfcf751416f2b212f1c055fc060
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_supervised_temporal,member,20260721,row0_zero_history_no_label_burnin,eb67ebded0f90397bae59c16636f6b56a3c1501f690fc08b41d1371a0c2b86a1,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.03299132364409622,-0.010384953841127233,0.00017261217709715199,0.010160318117689554,0.12544503515980449,0.21721835577240778,0.11536541889483067,0.08757723679294518,0.05923031962795988,0.16264462358906723,14025,1.0,13d7797aa76cc5d2cd51780669491abf,0.026965886908446455,-0.023990181439520225,-0.0012057274379739663,0.008419592363877515,0.12172863692380334,0.21721835577240778,0.11348290132868656,0.07035707821587166,0.06856731764465572,0.1534907678290979,13773,1.0,71cb60940a314a4da23b0360036fab81
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_supervised_temporal,member,20260722,row0_zero_history_no_label_burnin,a208d0ee3e581128366036897b916286f8b0847c358ad2c0d32e4136f0ba2bd6,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.01687166116210528,0.04125874657990257,0.014836238216088371,0.013444905114607192,0.12095634344760921,0.21721835577240778,0.11536541889483067,0.05039840740944647,0.03915581964852523,0.14798402831414564,14025,1.0,17af628de3b989734cf97fa22151d474,0.015017047883547088,0.03611618310713463,0.010428293306233224,0.011123726580590743,0.11645655407887567,0.21721835577240778,0.11348290132868656,0.048842778288332916,0.028932775908536948,0.13233356326591691,13773,1.0,8ca2592ddc7b7e8daad6d1b8db08008d
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_supervised_temporal,member,20260723,row0_zero_history_no_label_burnin,89d3f6c90bf2480c09dd138878ce6f736dc99bda433729bba7e4f9f8ac0a34f6,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.03651783300846594,0.035528692795789185,0.008708872727034037,0.010888419569612506,0.12103173803511803,0.21721835577240778,0.11536541889483067,0.06252375988226373,0.026906772832612322,0.1524646245575612,14025,1.0,cf65d7342b253519970cb2f61829065b,0.030910918532459874,0.015611612673739339,0.006484878377660833,0.00800526961286771,0.11553234669182333,0.21721835577240778,0.11348290132868656,0.04901645767988348,0.006232279798513082,0.13418660928431175,13773,1.0,e23189a351530f8318ef555a5ac117b4
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_supervised_temporal,ensemble,20260721_20260722_20260723,row0_zero_history_no_label_burnin,65547317a707a95607061740a5d0a2180cc32cd1e802b43a2d3868f323177370,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.031851309606757076,0.04082955708649923,0.01677615216361443,0.014307751235278526,0.12430372818410143,0.21721835577240778,0.11536541889483067,0.08034816860098513,0.062206568035655746,0.15758770501597913,14025,1.0,7edadf760b1856996ea4c16396609241,0.026127890745502685,0.03207843661530553,0.01322902723317873,0.010433608629909302,0.11917091451429224,0.21721835577240778,0.11348290132868656,0.06589996180174972,0.047843420170383594,0.14291227205368662,13773,1.0,55910057abddeb11403b2b249199a4a0
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,label_permutation_supervised_temporal,member,20260721,row0_zero_history_no_label_burnin,e1828c83acfdba607536c948e26365a669ade3aebf9010238a347075d2dc5bc9,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.03589877584648421,0.01789376193671606,0.013691825395641205,0.015163290881220925,0.12533308401365945,0.21721835577240778,0.11536541889483067,0.08644812829468972,0.0143941536691463,0.1458035868573973,14025,1.0,3d46b01359e8bcad5a0594edf2773685,0.03179263732990801,0.018644601584939816,0.01201859907881038,0.012251692401521103,0.1225222606012886,0.21721835577240778,0.11348290132868656,0.08616327460823586,0.017431624064570272,0.13987214521462105,13773,1.0,7207bca79e9c9d3a29b27af21e20d2e6
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,label_permutation_supervised_temporal,member,20260722,row0_zero_history_no_label_burnin,b4dd04274d12e9124e01958e9b691d91fce7c1b2b88f6fb5dafb7ddd3eb27f65,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.017689317599996406,-0.02168216327510151,0.009241307423489165,0.008450585780623326,0.12379800305019217,0.21721835577240778,0.11536541889483067,0.0634315753411664,0.01360135001402149,0.14211452463540236,14025,1.0,9574e544e3808f8a66c7710311ebfe82,0.015784033124360733,-0.024232532891021452,0.007727490105186682,0.009079697192071176,0.12017752327095488,0.21721835577240778,0.11348290132868656,0.06679496491602595,0.02047457067814984,0.1314280051506177,13773,1.0,c23f4451a3e1c73c5e93acf1d47ec391
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,label_permutation_supervised_temporal,member,20260723,row0_zero_history_no_label_burnin,4e0d4cc5525e49a5aa9fa527180809dde9a30ac5e2c4d794c90732f188a9758d,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.043315711115118755,0.03659725657990924,0.010704220161735875,0.011192736066730463,0.12691011739559324,0.21721835577240778,0.11536541889483067,0.12641404136185908,0.055043263019740996,0.15422634960185652,14025,1.0,cf39c30e0b08e110c41827075836ba47,0.03845941262350924,0.03104916142692321,0.0069488110339038095,0.007587275984643052,0.1237057038018879,0.21721835577240778,0.11348290132868656,0.12311000024594089,0.04315337417906118,0.14633385794425224,13773,1.0,1e6e48b03e7a7f7dc1ee940c1cbf6c08
locked_confirmation,c92439ec86d7efd8820dbaef766f4f09,4,label_permutation_supervised_temporal,ensemble,20260721_20260722_20260723,row0_zero_history_no_label_burnin,8079737ec2dfa0359cfb5f941a6c889265ada715bc9f34206256b869b9a94745,82dffd873edc5b51b625418fb969e5c2,0abffc09a59a14c962b2d73d5b6960a3,0.0363826995831093,0.037559432812932045,0.01960549143506944,0.01583860953696606,0.127987699596044,0.21721835577240778,0.11536541889483067,0.10742221585706471,0.031115973802465793,0.149921269628574,14025,1.0,ec2c214d88f879e30edec71a07b032bf,0.03195839281736152,0.03615951808573842,0.01504596122796395,0.01277500818213273,0.12437309732549955,0.21721835577240778,0.11348290132868656,0.1072856710056029,0.03294139649002259,0.1411372588267098,13773,1.0,8150eff581ae6b9994e6380ce4409ba2
