target_name,feature_name,pca_width,model_lane,gate_name,status,candidate_grouped_pr_auc,ar_only_grouped_pr_auc,delta_vs_AR_only,beats_required_controls,positive_mean_fold_delta_vs_AR,not_driven_by_one_fold_only,positive_fold_count_vs_AR,fold_count,blocked_temporal_support,blocked_temporal_status
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_std,128,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11273905553724288,0.11818805812409112,-0.005449002586848245,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_std,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11694822530771357,0.11818805812409112,-0.001239832816377559,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_std,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11648321879189946,0.11818805812409112,-0.0017048393321916627,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_mean,128,PCA_only,strict_grouped_pass,pass,0.12116328795531328,0.11818805812409112,0.0029752298312221565,true,true,true,3,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_mean,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.12246346898644904,0.11818805812409112,0.0042754108623579146,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_mean,128,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12235815766639088,0.11818805812409112,0.004170099542299757,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_mean,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12242026189677427,0.11818805812409112,0.0042322037726831435,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_mean,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12233324585384178,0.11818805812409112,0.004145187729750657,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_slope,128,PCA_only,strict_grouped_pass,fail,0.11235344237142149,0.11818805812409112,-0.005834615752669636,false,false,false,1,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_slope,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11513035457186405,0.11818805812409112,-0.0030577035522270785,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_slope,128,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11561809469554726,0.11818805812409112,-0.0025699634285438616,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_slope,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.1187611794004438,0.11818805812409112,0.0005731212763526727,true,true,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_slope,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.11856777452035572,0.11818805812409112,0.00037971639626459275,true,true,true,3,5,true,support
