stage,split_digest,fold_or_panel,lane,row_type,seed_or_group,cold_start_policy
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,no_video_closed_loop_persistence,member,20260723,self_prediction_state_train_median_init_video_reset
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,no_video_closed_loop_persistence,ensemble,"20260721,20260722,20260723",self_prediction_state_train_median_init_video_reset
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_video,member,20260721,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_video,member,20260722,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_video,member,20260723,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,sequence_shuffled_video,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_label_permutation,member,20260721,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_label_permutation,member,20260722,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_label_permutation,member,20260723,zero_padded_same_video_history_with_masks
stage_b,c92439ec86d7efd8820dbaef766f4f09,4,video_label_permutation,ensemble,"20260721,20260722,20260723",zero_padded_same_video_history_with_masks
