candidate,f1,feature_width,head,pr_auc,real_minus_ar_pr_auc,real_minus_random_pr_auc,real_minus_shuffled_pr_auc,real_minus_timestamp_pr_auc,real_minus_video_time_pr_auc,scope,split,target,threshold
raw_current_ridge,0.4672531769305963,20484,ridge_score,0.4524039460906387,-0.02771638662258935,0.1854983833081439,0.01216998168579303,0.12671016926429313,0.10004259504455643,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.4605217531284634,,ridge_score,0.45063309180574374,-0.012608960416591685,0.03583548335348345,-0.0036851746261315045,0.11943254156293433,0.11254162293920729,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.475,128,ridge_score,0.44988037733814423,0.05381500803050265,0.06957433385710377,0.0764814623632748,0.22382727039531977,0.24367733815262999,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean,0.42693409742120353,128,ridge_score,0.4490897893307776,0.03845352856701756,0.05695960677051953,0.0420516191172669,0.23235244545201425,0.2605168257719651,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
pls_32,0.4528605962933118,32,ridge_score,0.44688124262379225,-0.051286393660434415,-0.04776261024668238,-0.04760094649203206,0.1008400990675542,0.10073287084786603,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.464716657634226,,ridge_score,0.4457327227005313,-0.0184974602320744,-0.009398241782183837,-0.012009689978605187,0.1148628447026534,0.10603267945771248,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.4713375796178344,75,ridge_score,0.44364801535115306,0.00883090533320624,0.023397850359258898,0.018366986995369594,0.09669558835809022,0.08574754635693105,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.4644430459408433,75,ridge_score,0.44081196456318394,0.007380648539133561,0.01198188277515233,0.012191942603729078,0.13849053971208147,0.13539498066789246,all_videos,grouped_3,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.45943775100401607,75,ridge_score,0.44063795051536103,-0.02093464713028942,-0.009821734719042408,-0.012802847714881938,0.12402814545757623,0.11970159534474156,all_videos,grouped_4,arousal__future_change_p3s_movement,0.05
pca_current_128,0.4586828488070026,,ridge_score,0.44007147814277037,-0.024479909840548753,-0.007899578870749357,-0.005308575971873941,0.11045614647231985,0.10035238222201164,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
pca_sequence_256_causal_past_2s_mean,0.4149659863945578,256,ridge_score,0.4400024612516471,0.02937855712734261,0.04447883527178392,0.057005460370993744,0.2294934212669239,0.23509065087050382,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
pca_sequence_256_causal_past_2s_mean,0.4325657894736842,256,ridge_score,0.43812624689199,-0.05626007299830238,-0.040403507176270226,-0.03332143535068122,0.10180134204087166,0.10991505032485682,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.4472116946399567,512,ridge_score,0.43477148738902793,-0.004494820525056009,0.04057329925519382,0.0036042601105396033,0.13106502971106326,0.12915630247551957,all_videos,grouped_3,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.4442082890541977,128,ridge_score,0.4345103665236086,-0.035124507951375394,-0.02209014382129665,-0.0067527830748377315,0.1440863921817362,0.11388229534631228,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.42458100558659223,512,ridge_score,0.4340085115672187,0.023384607442914207,0.06331955229698866,0.03309298211603673,0.2234994715824955,0.22909670118607542,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
topk_vertices_512,0.4416,512,ridge_score,0.43327395696987414,-0.02829864067577631,0.0477453573190596,-0.016039290493607528,0.11666415191208934,0.11233760179925467,all_videos,grouped_4,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.4674698795180723,75,ridge_score,0.4324459862353839,0.028721108823896446,0.028603047762287503,0.030772749538698463,0.23244011590988253,0.23834856748325955,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
topk_vertices_512,0.46522781774580335,512,ridge_score,0.4305787855255248,0.026853908114037373,0.08905807192962817,0.03444223536577612,0.23057291520002346,0.23648136677340048,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
pca_current_128,0.44836601307189544,128,ridge_score,0.4295472299753154,-0.009595358501750473,-0.006652127451868994,0.00011241732178346453,0.12722580512421294,0.12257308800735983,all_videos,grouped_3,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.4385026737967914,128,ridge_score,0.4291390186092443,-0.029424114336257634,-0.013221910502941081,-0.019088223083113698,0.24511319018556582,0.2462946366402296,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
cortical_pca_64,0.4577373211963589,64,ridge_score,0.42803140897815684,0.056288599422776864,0.06615882799848505,0.06790787305675594,0.1863048140626531,0.19277267770702683,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean,0.4435095670898274,,ridge_score,0.4279538038788379,-0.029531390581841843,-0.011692293965310695,-0.010329284241092673,0.12369602808067556,0.11748948866596125,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
