stage,split_digest,fold,lane,row_type,seed_or_group,cold_start_policy,prediction_sha256,score_mask_digest,compatibility_mask_digest,teacher_forcing_ratio,cross_video_state_carry,rollout_all_finite,pooled_continuous_spearman,top_1pct_true_future_movement_lift,top_5pct_true_future_movement_lift,top_10pct_true_future_movement_lift,training_q90_future_event_pr_auc,event_threshold,event_prevalence,first30_pooled_continuous_spearman,first30_top_5pct_true_future_movement_lift,first30_training_q90_future_event_pr_auc,prediction_rows,prediction_finite_fraction,prediction_digest,compat_pooled_continuous_spearman,compat_top_1pct_true_future_movement_lift,compat_top_5pct_true_future_movement_lift,compat_top_10pct_true_future_movement_lift,compat_training_q90_future_event_pr_auc,compat_event_threshold,compat_event_prevalence,compat_first30_pooled_continuous_spearman,compat_first30_top_5pct_true_future_movement_lift,compat_first30_training_q90_future_event_pr_auc,compat_prediction_rows,compat_prediction_finite_fraction,compat_prediction_digest
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_temporal,member,20260720,row0_zero_history_no_label_burnin,9d0955ce76797a1c67548b30699427622e023d23cd66188a00f8176aaf9c954f,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.13022992731126218,0.04366730070961374,0.04972125550908268,0.04033454831254569,0.12540329718586937,0.222222222,0.09090238051300978,0.15593776411772733,0.05110426658130217,0.1302887498697391,54190,1.0,e50f651ea6e477c48111e04bea2a3e5b,0.12775054633357533,0.0445002939169799,0.049042096177645246,0.03970049746155475,0.12542398685807762,0.222222222,0.09011682506292025,0.15361613721610015,0.06277508695188122,0.130868142967344,53242,1.0,e95a2ccd53c9873662f88bc26184c21a
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_temporal,ensemble,20260718_20260719_20260720,row0_zero_history_no_label_burnin,875574863616c00d18137e87b76ba23cd0afd337dfbf09ac16c9a266e67bcb88,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.1446983877232844,0.059066807524024094,0.05305823364630106,0.04724831078043464,0.12948138427831907,0.222222222,0.09090238051300978,0.1732488036140712,0.051884598556383874,0.12775358811899779,54190,1.0,a4a066a843bc518ae3a499478376b775,0.14035487945488015,0.057817283163955076,0.053702274096506526,0.04679075643529939,0.12985102549488892,0.222222222,0.09011682506292025,0.1668662509147744,0.05125251825265027,0.12743504292799693,53242,1.0,5b0e0f259fe274ddd8e989807b743a18
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_current_row,member,20260718,row0_zero_history_no_label_burnin,9cdfc9a4df364e2581357c0a9cab9148973edce03d1fd4043191c3ade2e12486,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.1281546685421932,0.03524951660848682,0.043943387568006205,0.03628822793234444,0.11915944411121458,0.222222222,0.09090238051300978,0.1400347434080036,0.058992665387026605,0.12769585085267232,54190,1.0,ed7ac4363936452ba827bf0415c03b13,0.12475196558303911,0.03492780456159205,0.041681557559974027,0.035279985570728915,0.11757711199207527,0.222222222,0.09011682506292025,0.13177656802124801,0.05604013545542047,0.12252808596046873,53242,1.0,8e51b8adcd87ab035e64b04a0e885dcb
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_current_row,member,20260719,row0_zero_history_no_label_burnin,bf6730f97bfcd001953eebb32a03fce1390693aca97fbeb42a8c603e73abb965,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.13667310248249356,0.06504185818134234,0.04831535132717401,0.0389536368446757,0.1250447204831238,0.222222222,0.09090238051300978,0.16087889144021797,0.041532052640722086,0.12686415895255593,54190,1.0,768da6ee2c1300562e8f208ffd540abd,0.13246993496955886,0.06694539355768092,0.0484448987409055,0.0378710070208873,0.12456013598709656,0.222222222,0.09011682506292025,0.15465150049558993,0.046794866353391765,0.1251504866038526,53242,1.0,5edd3c0b613128961e8efb1e2099d79c
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_current_row,member,20260720,row0_zero_history_no_label_burnin,429603302b07252e77336004e134f7f1f41291d7ac5d25893e12a7652f805848,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.13652523310363812,0.0697956264038907,0.04901121079615627,0.0404410438182345,0.12131741618063718,0.222222222,0.09090238051300978,0.1501905593519988,0.051425783513478804,0.12270370429827462,54190,1.0,bf79b5ecef3eca73d57121c0a9113b01,0.13173691105965454,0.0638123796444692,0.045849366917311264,0.03848877751139931,0.11944639607469618,0.222222222,0.09011682506292025,0.13962587586027,0.047451791740698065,0.11641116320867846,53242,1.0,46e8a10431706fb4b710cd622a8feb03
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_current_row,ensemble,20260718_20260719_20260720,row0_zero_history_no_label_burnin,fa384a530b69194716158a49908df6881fd826aa590c3bfa2ff6f99ec05750f1,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.14261906819745057,0.07609021210363162,0.053066452974283675,0.040587195124215554,0.1262007680844383,0.222222222,0.09090238051300978,0.16206737077088337,0.0577785773063382,0.13015879752680723,54190,1.0,967948703abfe5805710ca0e215e7e48,0.13817199362619498,0.077436314985499,0.04985846975964487,0.04106408172493465,0.12481918910119726,0.222222222,0.09011682506292025,0.152957672306113,0.05080390404735971,0.1258822418474314,53242,1.0,d864050c74411309cd64379cf4313473
stage_a,5f17eef6b600bbb33527efaa690cd715,1,no_video_closed_loop_persistence,member,20260718,row0_zero_history_no_label_burnin,f47fb72ce1d5b663d301767ae985e234a9c09eaf3c713661b67d311743b6ff11,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.08819984092578351,0.040201375111444886,0.03945684014987392,0.028125891642961733,0.09552141917016364,0.222222222,0.09090238051300978,0.13830302275681153,0.024824896490798665,0.11626558573199,54190,1.0,40599c5c86e6eb4d9e8e6fe218230359,0.08070292856598572,0.05587629618489106,0.03546323575386636,0.024125151963311768,0.09377262851923118,0.222222222,0.09011682506292025,0.13105862071016594,0.03790222128148296,0.11616170803654438,53242,1.0,43f1b74a9a39c97904631b0c9d2221c5
stage_a,5f17eef6b600bbb33527efaa690cd715,1,no_video_closed_loop_persistence,member,20260719,row0_zero_history_no_label_burnin,8ff5a672541e79d73657bb5977816bec1eb5ed25fb29f9cf0ba4becd4dcc174f,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.08448926526686798,0.0369155548360968,0.04179986739797494,0.029953673073823094,0.09707654578615543,0.222222222,0.09090238051300978,0.13915384985683077,0.024577309610296957,0.11663742541695565,54190,1.0,e4d2de74edf7e033210f8c077f81a3cb,0.07675451024528099,0.05469437295057885,0.03704987384507883,0.02638432654227201,0.0958248594148295,0.222222222,0.09011682506292025,0.13192307526941477,0.04048998727776108,0.11837282152274875,53242,1.0,acc095bec013d1a95852a8f94be386dc
stage_a,5f17eef6b600bbb33527efaa690cd715,1,no_video_closed_loop_persistence,member,20260720,row0_zero_history_no_label_burnin,14adef9510fd4024125896594d5a7135e1aeb72c4af18a1ea3e4f2f7432a91c4,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.08409779872351542,0.045257368544878905,0.04235217345873594,0.03089392068197206,0.09755688147435532,0.222222222,0.09090238051300978,0.14133363739510327,0.031114063221209853,0.11934230480190657,54190,1.0,12d42babd39404ba208b4b03cbd3576b,0.0763705461710565,0.05010528774888704,0.04041394658951843,0.02803532299184012,0.09539262905607343,0.222222222,0.09011682506292025,0.13364273133618843,0.04043829620648906,0.11752518229148631,53242,1.0,97938ab16687d225d1461cd3116f2699
stage_a,5f17eef6b600bbb33527efaa690cd715,1,no_video_closed_loop_persistence,ensemble,20260718_20260719_20260720,row0_zero_history_no_label_burnin,e5afd94a26a8fccd793bb5c9991aa7eb6be2e04f7f086f58dfeed4afa14e78ad,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.08703306541154518,0.03869261425153311,0.04142392362083407,0.030721989641644194,0.09715414928681554,0.222222222,0.09090238051300978,0.1470119892185496,0.024920785485897892,0.1187206676399692,54190,1.0,8c166e1b5db85561f2e975a4b566fe95,0.07944624255764683,0.05583025727102269,0.03964825827562534,0.027878091614223978,0.09557919558902334,0.222222222,0.09011682506292025,0.1405766352026799,0.04021797422896389,0.1193684479415976,53242,1.0,90ca50fe42a22bbdeb967321a93d6b64
